start_date,mid_date,end_date,ratio,PREDICTED
2018-09-28,2018-09-28,2018-11-09,1.9940119760479,1
2018-10-05,2018-10-05,2018-11-16,1.99700598802395,1
2019-02-08,2019-02-08,2019-03-22,2,1
2019-04-19,2019-04-19,2019-05-31,1.97183098591549,0
2019-04-26,2019-04-26,2019-06-07,1.89411764705882,0
2019-05-03,2019-05-03,2019-06-14,1.89411764705882,0
2020-04-03,2020-04-03,2020-05-15,1.9047619047619,0
2020-08-21,2020-08-21,2020-10-02,1.90942378259896,1
