STARTDATE,ENDDATE,TYPE
2006-02-01,2006-03-16,no
2006-07-26,2006-09-07,no
2007-03-26,2007-05-08,no
2007-11-12,2007-12-25,no
2008-03-13,2008-04-24,HOARDING
2008-06-30,2008-08-12,no
2008-12-20,2009-01-31,WEATHER
2009-02-23,2009-04-07,no
2009-06-16,2009-07-28,HOARDING
2009-12-21,2010-02-01,WEATHER
2010-03-15,2010-04-27,no
2010-06-28,2010-08-10,no
2010-12-18,2011-01-29,HOARDING
2011-03-14,2011-04-26,no
2011-09-12,2011-10-25,no
2012-03-14,2012-04-25,WEATHER
2012-09-24,2012-11-06,no
2013-02-18,2013-04-02,no
2014-07-28,2014-09-09,no
2015-01-19,2015-03-03,no
2015-03-20,2015-05-01,HOARDING
2015-06-22,2015-08-04,no
2016-04-25,2016-06-07,no
2016-09-05,2016-10-18,no
2016-12-09,2017-01-20,WEATHER
2017-03-26,2017-05-07,WEATHER
2017-11-13,2017-12-26,no
2018-04-09,2018-05-22,no
2019-06-17,2019-07-30,no
