STARTDATE,ENDDATE,TYPE
2006-01-15,2006-02-27,no
2006-05-17,2006-06-29,no
2007-03-19,2007-05-01,no
2007-07-30,2007-09-11,no
2007-12-12,2008-01-23,supply
2008-04-26,2008-06-07,supply
2008-09-15,2008-10-28,no
2008-12-25,2009-02-05,supply
2009-05-11,2009-06-23,no
2009-08-31,2009-10-13,no
2010-03-01,2010-04-12,supply
2010-05-24,2010-07-06,no
2011-05-30,2011-07-12,no
2011-12-03,2012-01-14,supply
2011-12-11,2012-01-22,supply
2012-01-11,2012-02-22,supply
2012-03-05,2012-04-17,no
2012-07-16,2012-08-28,no
2013-06-10,2013-07-23,no
2013-12-12,2014-01-23,supply
2013-12-23,2014-02-03,supply
2014-02-09,2014-03-23,supply
2014-06-02,2014-07-15,no
2014-09-01,2014-10-14,no
2014-12-28,2015-02-08,supply
2015-02-11,2015-03-25,supply
2015-08-10,2015-09-22,no
2016-02-22,2016-04-05,no
2016-08-22,2016-10-04,no
2016-11-27,2017-01-08,supply
2017-02-12,2017-03-26,supply
2017-09-04,2017-10-17,no
2017-12-03,2018-01-14,supply
2017-12-23,2018-02-03,supply
2018-04-30,2018-06-12,no
2018-10-08,2018-11-20,no
2019-04-15,2019-05-28,no
2019-09-09,2019-10-22,no
