STARTDATE,ENDDATE,TYPE
2006-05-03,2006-06-15,no
2006-11-01,2006-12-14,no
2007-06-08,2007-07-20,supply
2008-04-14,2008-05-27,no
2008-12-08,2009-01-20,no
2009-03-23,2009-05-05,no
2010-05-10,2010-06-22,no
2010-12-13,2011-01-24,supply
2011-01-12,2011-02-23,supply
2011-12-12,2012-01-24,no
2012-06-04,2012-07-17,no
2013-11-25,2014-01-06,supply
2014-03-17,2014-04-29,no
2015-01-05,2015-02-17,no
2015-10-14,2015-11-25,supply
2016-01-25,2016-03-08,no
2016-04-07,2016-05-19,supply
2016-11-14,2016-12-27,no
2017-02-27,2017-04-11,no
2017-05-24,2017-07-05,supply
2018-12-17,2019-01-29,no
2019-04-01,2019-05-14,no
2019-09-13,2019-10-25,supply
