STARTDATE,ENDDATE,TYPE
2007-06-10,2007-07-22,supply
2008-02-25,2008-04-08,no
2008-06-02,2008-07-15,no
2009-06-08,2009-07-21,no
2010-12-11,2011-01-22,supply
2011-08-27,2011-10-08,supply
2011-10-24,2011-12-06,no
2013-03-04,2013-04-16,no
2013-08-19,2013-09-30,supply
2013-11-15,2013-12-27,supply
2015-06-08,2015-07-21,no
2015-11-23,2016-01-05,no
2016-05-22,2016-07-03,supply
2016-12-23,2017-02-03,supply
2017-11-06,2017-12-19,no
2018-03-26,2018-05-08,no
2018-08-20,2018-10-02,no
2019-03-04,2019-04-16,no
2019-09-13,2019-10-25,supply
