STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,LOW,HIGH
2016-01-01,2016-02-13,,,Normal,1.2705931943485116,NO,YES
2016-01-08,2016-02-20,,,Normal,1.5704772475027746,NO,NO
2016-01-15,2016-02-27,,,Normal,1.7130750605326877,NO,NO
2016-01-22,2016-03-05,,,Normal,1.6707021791767551,NO,NO
2016-01-29,2016-03-12,,,Normal,1.555690072639225,NO,NO
2016-02-01,2016-03-15,Normal,,Normal,1.555690072639225,NO,YES
2016-02-08,2016-03-22,Normal,,Normal,1.5314769975786926,NO,NO
2016-02-15,2016-03-29,Normal,,Normal,1.527002842376492,NO,NO
2016-02-22,2016-04-05,Normal,,Normal,1.527002842376492,NO,NO
2016-02-29,2016-04-12,Normal,,Normal,1.1887882637162888,NO,NO
2016-03-07,2016-04-19,Normal,,Normal,1.3873473917869037,NO,NO
2016-03-14,2016-04-26,Normal,,Normal,1.3873473917869037,NO,NO
2016-03-21,2016-05-03,Normal,,Normal,1.3318534961154274,NO,NO
2016-03-28,2016-05-10,Normal,,Normal,1.3555291319857312,NO,NO
2016-04-04,2016-05-17,Normal,,Normal,1.404494382022472,NO,NO
2016-04-11,2016-05-24,Normal,,Normal,1.4432989691186628,NO,NO
2016-04-18,2016-05-31,Normal,,Normal,1.3530927835487463,NO,NO
2016-04-25,2016-06-07,Normal,,Normal,1.4096916299559472,NO,NO
2016-05-02,2016-06-14,Normal,,Normal,1.395007342143906,NO,NO
2016-05-09,2016-06-21,Normal,,Normal,1.3274262447941316,NO,NO
2016-05-16,2016-06-28,Normal,,Normal,1.3274262447941316,NO,NO
2016-05-23,2016-07-05,Normal,,Normal,1.4684287812041117,NO,NO
2016-05-30,2016-07-12,Normal,,Normal,1.4684287812041117,NO,NO
2016-06-06,2016-07-19,Normal,,Normal,1.4684287812041117,NO,NO
2016-06-13,2016-07-26,Normal,,Normal,1.49812734082397,NO,NO
2016-06-20,2016-08-02,Normal,,Normal,1.529338327091136,NO,NO
2016-06-27,2016-08-09,Normal,,Normal,1.529338327091136,NO,NO
2016-07-04,2016-08-16,Normal,,Normal,1.4830508474576272,NO,NO
2016-07-11,2016-08-23,Normal,,Normal,1.52288516664312,NO,NO
2016-07-18,2016-08-30,Normal,,Normal,3.49002849002849,NO,NO
2016-07-25,2016-09-06,Normal,,Normal,3.49002849002849,NO,NO
2016-08-01,2016-09-13,Normal,,Normal,3.2051282051282053,NO,NO
2016-08-08,2016-09-20,Normal,,Normal,2.9914529914529915,NO,NO
2016-08-15,2016-09-27,Normal,,Normal,2.8347578347578346,NO,NO
2016-08-22,2016-10-04,Normal,,Normal,2.7777777777777777,NO,NO
2016-08-29,2016-10-11,Normal,,Normal,1.234193569855766,NO,NO
2016-09-05,2016-10-18,Normal,,Normal,1.2277318234167305,NO,NO
2016-09-12,2016-10-25,Normal,,Normal,1.2277318234167305,NO,NO
2016-09-19,2016-11-01,Normal,,Normal,1.2277318234167305,NO,NO
2016-09-26,2016-11-08,Normal,,Normal,1.2600405556119076,NO,NO
2016-10-03,2016-11-15,Normal,,Normal,1.256443298969072,NO,NO
2016-10-10,2016-11-22,Normal,,Normal,1.3790664781173414,NO,NO
2016-10-17,2016-11-29,Normal,,Normal,1.3790664781173414,NO,NO
2016-10-24,2016-12-06,Normal,,Normal,1.3790664781173414,NO,NO
2016-10-31,2016-12-13,Normal,,Normal,1.3790664781173414,NO,NO
2016-11-07,2016-12-20,Normal,,Normal,1.30834512026517,NO,NO
2016-11-14,2016-12-27,Normal,,Normal,1.3790664781173414,NO,NO
2016-11-21,2017-01-03,Normal,,Normal,1.2483994878361075,NO,NO
2016-11-28,2017-01-10,Normal,,Normal,1.2483994878361075,NO,NO
2016-12-05,2017-01-17,Normal,,Normal,1.2483994878361075,NO,NO
2016-12-12,2017-01-24,Normal,,Normal,1.2248743718592965,NO,NO
2016-12-19,2017-01-31,Normal,,Normal,1.0821309655937847,NO,NO
2016-12-26,2017-02-07,Normal,,Normal,1.09322974472808,NO,NO
2017-01-01,2017-02-13,Normal,Normal,Normal,1.09322974472808,NO,NO
2017-01-08,2017-02-20,Normal,Normal,Normal,1.09322974472808,NO,NO
2017-01-15,2017-02-27,Normal,Normal,Normal,1.09322974472808,NO,NO
2017-01-22,2017-03-06,Normal,Normal,Normal,1.09322974472808,NO,NO
2017-01-29,2017-03-13,Normal,Normal,Normal,1.1244292237442923,NO,NO
2017-02-05,2017-03-20,Normal,Normal,Normal,1.13013698630137,NO,NO
2017-02-12,2017-03-27,Normal,Normal,Normal,1.1700913242009132,NO,NO
