STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,LOW,HIGH
2016-01-01,2016-02-13,,,Normal,1.2966252220536552,NO,YES
2016-01-08,2016-02-20,,,Normal,1.3260672116257948,NO,NO
2016-01-15,2016-02-27,,,Normal,1.6204217536071033,NO,NO
2016-01-22,2016-03-05,,,Normal,1.6180714238827294,NO,NO
2016-01-29,2016-03-12,,,Normal,1.531631520532741,NO,NO
2016-02-01,2016-03-15,Normal,,Normal,1.4150943396226414,NO,NO
2016-02-08,2016-03-22,Normal,,Normal,1.3318534961154274,NO,NO
2016-02-15,2016-03-29,Normal,,Normal,1.3318534961154274,NO,NO
2016-02-22,2016-04-05,Normal,,Normal,1.3318534961154274,NO,NO
2016-02-29,2016-04-12,Normal,,Normal,1.1988011988011988,NO,NO
2016-03-07,2016-04-19,Normal,,Normal,1.1988011988011988,NO,NO
2016-03-14,2016-04-26,Normal,,Normal,1.1988011988011988,NO,NO
2016-03-21,2016-05-03,Normal,,Normal,1.098901098901099,NO,NO
2016-03-28,2016-05-10,Normal,,Normal,1.098901098901099,NO,NO
2016-04-04,2016-05-17,Normal,,Normal,1.2208657047724751,NO,NO
2016-04-11,2016-05-24,Normal,,Normal,1.3317191283292975,NO,NO
2016-04-18,2016-05-31,Normal,,Normal,1.5691868758915837,NO,NO
2016-04-25,2016-06-07,Normal,,Normal,1.5691868758915837,NO,NO
2016-05-02,2016-06-14,Normal,,Normal,1.5691868758915837,NO,NO
2016-05-09,2016-06-21,Normal,,Normal,1.5691868758915837,NO,NO
2016-05-16,2016-06-28,Normal,,Normal,1.340941512125535,NO,NO
2016-05-23,2016-07-05,Normal,,Normal,1.369472182596291,NO,NO
2016-05-30,2016-07-12,Normal,,Normal,1.4265335235378032,NO,NO
2016-06-06,2016-07-19,Normal,,Normal,1.4647137150466043,NO,NO
2016-06-13,2016-07-26,Normal,,Normal,1.351351351351351,NO,NO
2016-06-20,2016-08-02,Normal,,Normal,1.312785388127854,NO,NO
2016-06-27,2016-08-09,Normal,,Normal,1.2763596004439512,NO,NO
