"","values","Interp","Kalman","Approx","Locf","MA","Seadec"
"1",5,50.0974285526984,45.7952529768403,49.4488495871257,77.8901192406537,40.2409513074289,48.5735701743809
"2",6,38.8581064780647,38.4274097622815,38.5066819307263,58.5576311544864,38.0909452295552,40.9960382544672
"3",7,35.1309676545792,36.3236793987607,34.4003754475414,51.810827956927,35.3916259508078,51.5776724533827
"4",8,44.241948015697,45.1222089902962,44.3717149929825,54.3399131205946,48.2949771509139,53.7849819410665
"5",9,48.2950335309584,52.8396118470706,48.1109326409013,52.1841022777052,52.028405045703,64.9340924790821
"6",10,56.8341427488952,57.1121768516266,56.7280771384942,75.3457656216641,56.3996998452556,66.5424619211027
"7",11,63.6524922302987,63.3081667429405,62.7685590592481,69.4711826115152,63.8444665680356,68.3786991366782
"8",12,51.5610317613146,57.2545662373707,52.125180959625,66.2013448316323,55.9476124438025,67.6707998733994
"9",13,63.3850209649511,61.3276669691351,63.8961321074219,102.074523324111,62.3051527940043,72.5960757651941
"10",14,71.0840333370292,68.2692632098729,70.6657850854089,79.0043085915776,64.2552981972058,78.9809043324518
"11",15,70.0998362480453,69.3229789498259,68.6571915156047,96.9509517023699,66.1614768450885,79.5251098676943
"12",16,62.0615327581717,65.5347601482764,61.4871735983138,87.2729581938058,64.2414163728895,84.5070482653796
"13",17,76.9432860584601,75.5310459148078,76.6713666236281,89.8436564325942,77.317670063779,84.7522809593361
"14",18,81.7616819160354,81.2624044480208,81.3670136186967,117.409175677426,77.2978612303934,93.1864537817817
"15",19,76.6220580743269,72.4864446626055,75.3184233606519,113.756869544796,73.3857990488396,81.2309162201488
"16",20,75.7339849723414,79.1632751427036,74.7503483990492,88.9416808334626,79.476631097816,87.507240255226
"17",21,100.56652241272,101.145882728653,100.29444760323,119.932687221011,101.785969898644,114.211086770963
"18",22,102.531301668302,103.718671430254,101.854430600293,116.99396954655,104.153300340978,113.985369327264
"19",23,79.3994138274358,84.0806385000834,78.5734649977371,98.6658261021646,83.490314501974,100.349456230772
"20",24,76.6361976924939,79.0718067006904,75.9728814434593,99.9049678292089,74.7963890454521,97.5457146617651
"21",25,84.4949949413017,83.1827152467217,83.5704919806004,101.949592436372,81.7918298001202,99.4794973887979
"22",26,85.1989224951365,89.8552460197425,84.0021460345789,102.177157818032,86.5054295460302,93.692201078047
"23",27,86.388837704725,84.0382635433252,84.2130160509053,115.458303440644,82.8925985386076,93.5851587105503
"24",28,95.5668249974631,97.5872865373694,95.0433127849137,107.46675873057,94.8774345599251,106.953339251632
"25",29,102.370278294388,100.790407983838,100.662668627437,140.273928856268,102.653096165971,124.65344522982
"26",30,117.944374989408,116.630354350797,116.65195574975,143.464197026241,118.395932290237,144.629381402468
"27",31,107.787525674067,104.857799302479,106.59217227407,147.11241877262,101.594186817989,112.319396014893
"28",32,114.026305800918,112.286828370807,112.26458500168,156.200927021644,106.448184140572,122.160068226751
"29",33,146.735897862945,121.497232575006,139.471376303179,116.973577140071,126.628829513026,135.321515031366
"30",34,120.147503539067,106.746108120792,115.767420240372,119.184953655717,105.498346198416,119.483444932369
"31",35,105.564638627508,103.828222729299,103.937207188908,119.677101035266,107.198530430743,119.59211321197
