0,1,2,7
2016-01-01,336,185.0,770
2016-01-02,336,105.0,770
2016-01-03,336,80.0,880
2016-01-04,336,80.0,880
2016-01-05,336,78.0,860
2016-01-06,336,150.0,860
2016-01-07,336,90.0,850
2016-01-08,336,80.0,850
2016-01-09,336,90.0,850
2016-01-10,336,70.0,800
2016-01-11,336,85.0,800
2016-01-12,336,90.0,800
2016-01-13,336,70.0,810
2016-01-14,336,40.0,800
2016-01-15,336,35.0,750
2016-01-16,336,40.0,750
2016-01-17,336,40.0,750
2016-01-18,336,50.0,760
2016-01-30,336,50.0,580
2016-01-31,336,40.0,600
2016-02-01,336,80.0,600
2016-02-02,336,70.0,580
2016-02-03,336,45.0,600
2016-02-04,336,80.0,600
2016-02-05,336,65.0,650
2016-02-06,336,75.0,650
2016-02-07,336,40.0,650
2016-02-08,336,60.0,660
2016-02-09,336,50.0,660
2016-02-10,336,60.0,660
2016-02-11,336,70.0,660
2016-02-12,336,65.0,660
2016-02-13,336,45.0,650
2016-02-14,336,50.0,660
2016-02-15,336,50.0,660
2016-02-16,336,60.0,660
2016-02-17,336,55.0,650
2016-02-18,336,70.0,650
2016-02-19,336,50.0,0
2016-02-20,336,70.0,0
2016-02-21,336,70.0,880
2016-02-22,336,70.0,880
2016-02-23,336,60.0,920
2016-02-24,336,50.0,900
2016-02-25,336,80.0,900
2016-02-26,336,70.0,920
2016-02-27,336,50.0,920
2016-02-28,336,35.0,900
2016-02-29,336,55.0,900
2016-03-01,336,50.0,900
2016-03-02,336,55.0,930
2016-03-03,336,50.0,950
2016-03-04,336,40.0,950
2016-03-05,336,55.0,950
2016-03-06,336,35.0,950
2016-03-07,336,40.0,950
2016-03-08,336,40.0,1100
2016-03-09,336,45.0,1100
2016-03-10,336,40.0,1100
2016-03-11,336,40.0,1110
2016-03-12,336,45.0,1100
2016-03-13,336,35.0,1130
2016-03-14,336,50.0,1140
2016-03-15,336,40.0,1140
2016-03-16,336,45.0,0
2016-03-17,336,35.0,0
2016-03-18,336,40.0,0
2016-03-19,336,50.0,0
2016-03-20,336,30.0,1140
2016-03-21,336,35.0,1140
2016-03-22,336,40.0,1140
2016-03-23,336,40.0,1140
2016-03-24,336,35.0,1140
2016-03-25,336,40.0,1140
2016-03-26,336,35.0,1210
2016-03-27,336,30.0,1180
2016-03-28,336,45.0,1180
2016-03-29,336,50.0,1200
2016-03-30,336,40.0,1200
2016-03-31,336,35.0,1210
2016-04-01,336,45.0,1210
2016-04-02,336,40.0,1210
