COMMODITY,VOLATILITY
Mustard Oil,0.00362
Green Gram Dal (Moong Dal),0.00537
Tomato,0.08737
Potato,0.0342
Rice,0.00075
Onion,0.04775
Masur Dal,0.0045
Sugar,0.00651
