STARTDATA,ENDDATA,MAX_PRICE,MIN_PRICE,MAXMINRATIO
2006-01-01,2006-02-13,231.0,231.0,1.0
2006-01-08,2006-02-20,231.0,231.0,1.0
2006-01-15,2006-02-27,234.79351696719638,231.0,1.0164221513731444
2006-01-22,2006-03-06,247.7269829854037,231.0,1.0724111817549944
2006-01-29,2006-03-13,268.7413963031977,231.0,1.1633826679792107
2006-02-01,2006-03-16,279.6901744157124,231.0,1.2107799758255948
2006-02-08,2006-03-23,306.9568866629836,231.0,1.3288176911817473
2006-02-15,2006-03-30,324.7494714675136,231.0,1.4058418678247342
2006-02-22,2006-04-06,324.7494714675136,231.14482789748857,1.4049610126320378
2006-03-01,2006-04-13,324.7494714675136,215.0,1.5104626579884355
2006-03-08,2006-04-20,324.7494714675136,215.0,1.5104626579884355
2006-03-15,2006-04-27,324.7494714675136,215.0,1.5104626579884355
2006-03-22,2006-05-04,324.7494714675136,215.0,1.5104626579884355
2006-03-29,2006-05-11,324.7494714675136,215.0,1.5104626579884355
2006-04-05,2006-05-18,291.66666664444443,215.0,1.3565891471834626
2006-04-12,2006-05-25,281.0,215.0,1.3069767441860465
2006-04-19,2006-06-01,281.0,245.0,1.146938775510204
2006-04-26,2006-06-08,280.68610534671006,253.96725714761837,1.1052058777150213
2006-05-03,2006-06-15,310.0443736542031,253.96725714761837,1.2208045128982512
2006-05-10,2006-06-22,344.52547764077525,253.96725714761837,1.356574392739612
2006-05-17,2006-06-29,344.52547764077525,253.96725714761837,1.356574392739612
2006-05-24,2006-07-06,344.52547764077525,244.6666467708432,1.4081423936931652
2006-05-31,2006-07-13,344.52547764077525,244.6666467708432,1.4081423936931652
2006-06-07,2006-07-20,344.52547764077525,244.6666467708432,1.4081423936931652
2006-06-14,2006-07-27,344.52547764077525,244.6666467708432,1.4081423936931652
2006-06-21,2006-08-03,367.4279786215315,244.6666467708432,1.5017493535425268
2006-06-28,2006-08-10,383.4151426170762,244.6666467708432,1.5670919909904435
2006-07-05,2006-08-17,388.0381615187756,245.80921571727782,1.57861518896462
2006-07-12,2006-08-24,388.0381615187756,269.089462072509,1.442041462828502
2006-07-19,2006-08-31,388.0381615187756,303.6114603360995,1.2780748167055858
2006-07-26,2006-09-07,388.0381615187756,337.2307231203218,1.1506607640263133
2006-08-02,2006-09-14,388.0381615187756,340.0,1.14128871034934
2006-08-09,2006-09-21,388.0381615187756,336.16640679872495,1.154303802137815
2006-08-16,2006-09-28,388.0381615187756,333.7433224626044,1.1626844206366254
2006-08-23,2006-10-05,381.925168224533,333.6255800189988,1.144771837347675
2006-08-30,2006-10-12,381.4200513409208,333.6255800189988,1.1432578141016654
2006-09-06,2006-10-19,484.6256896878376,333.6255800189988,1.4526035133764021
2006-09-13,2006-10-26,587.4824221594083,333.6255800189988,1.7609034119204927
2006-09-20,2006-11-02,668.6358910997243,333.6255800189988,2.00415055422803
2006-09-27,2006-11-09,701.161883926954,333.6255800189988,2.1016430571271703
2006-10-04,2006-11-16,715.571008661615,335.24597054452056,2.134465650696277
2006-10-11,2006-11-23,724.9063175477182,369.28278562749716,1.9630113987467197
2006-10-18,2006-11-30,733.0852010588134,469.1844057687887,1.562467106845988
2006-10-25,2006-12-07,741.6922586563591,573.6965393497476,1.292830281836849
2006-11-01,2006-12-14,751.4907439698121,660.2315165778002,1.138223070393608
2006-11-08,2006-12-21,762.8936773155251,698.1819539937645,1.0926860440198924
2006-11-15,2006-12-28,776.144060861351,713.9693494134764,1.0870831661036304
2006-11-22,2007-01-04,791.3941996850842,723.6977758599822,1.093542395849783
2006-11-29,2007-01-11,808.7444046894319,731.9152196400571,1.1049700607225492
2006-12-06,2007-01-18,828.2634352442961,740.4025074706454,1.1186664373595927
2006-12-13,2007-01-25,850.0,750.0,1.1333333333333333
2006-12-20,2007-02-01,873.9301104838765,761.1560177326982,1.1481615990990985
2006-12-27,2007-02-08,900.0,774.1315781831534,1.162593059583299
2007-01-01,2007-02-13,919.9200983149674,784.6062306160421,1.1724608630659001
2007-01-08,2007-02-20,949.4131774338713,801.0464832444669,1.1852160858237302
2007-01-15,2007-02-27,953.5096313062468,500.0,1.9070192626124935
2007-01-22,2007-03-06,953.5096313062468,451.0,2.1142120428076425
2007-01-29,2007-03-13,953.5096313062468,451.0,2.1142120428076425
2007-02-05,2007-03-20,953.5096313062468,451.0,2.1142120428076425
2007-02-12,2007-03-27,953.5096313062468,451.0,2.1142120428076425
2007-02-19,2007-04-03,953.5096313062468,451.0,2.1142120428076425
2007-02-26,2007-04-10,760.0,351.0,2.1652421652421654
2007-03-05,2007-04-17,760.0,351.0,2.1652421652421654
2007-03-12,2007-04-24,691.0,351.0,1.9686609686609686
2007-03-19,2007-05-01,622.2819148811292,351.0,1.7728829483792854
2007-03-26,2007-05-08,551.1571065909453,351.0,1.5702481669257702
2007-04-02,2007-05-15,508.5515013532734,351.0,1.4488646762201522
2007-04-09,2007-05-22,504.78260867069946,390.0,1.2943143812069218
2007-04-16,2007-05-29,575.0,390.0,1.4743589743589745
2007-04-23,2007-06-05,652.5320166268108,411.0,1.5876691402112184
2007-04-30,2007-06-12,800.0,411.0,1.9464720194647203
2007-05-07,2007-06-19,900.6573793427516,411.0,2.1913804850188603
2007-05-14,2007-06-26,902.6623877755313,411.0,2.1962588510353562
2007-05-21,2007-07-03,951.0,411.0,2.3138686131386863
2007-05-28,2007-07-10,951.0,411.0,2.3138686131386863
2007-06-04,2007-07-17,951.0,511.0,1.8610567514677103
