STARTDATA,ENDDATA,MAX_PRICE,MIN_PRICE,MAXMINRATIO
2006-01-01,2006-02-13,550.0,300.0,1.8333333333333333
2006-01-08,2006-02-20,543.2972298979154,300.0,1.8109907663263847
2006-01-15,2006-02-27,491.40624974823,300.0,1.6380208324941
2006-01-22,2006-03-06,456.4840485917812,300.0,1.5216134953059373
2006-01-29,2006-03-13,456.4840485917812,300.0,1.5216134953059373
2006-02-01,2006-03-16,456.4840485917812,300.0,1.5216134953059373
2006-02-08,2006-03-23,456.4840485917812,300.0,1.5216134953059373
2006-02-15,2006-03-30,456.4840485917812,300.0,1.5216134953059373
2006-02-22,2006-04-06,434.55056184258325,338.0,1.2856525498301279
2006-03-01,2006-04-13,400.0,338.0,1.183431952662722
2006-03-08,2006-04-20,375.0,275.0,1.3636363636363635
2006-03-15,2006-04-27,375.0,271.9999971199996,1.3786764851859883
2006-03-22,2006-05-04,375.0,271.9999971199996,1.3786764851859883
2006-03-29,2006-05-11,375.0,271.9999971199996,1.3786764851859883
2006-04-05,2006-05-18,375.0,271.9999971199996,1.3786764851859883
2006-04-12,2006-05-25,375.0,271.9999971199996,1.3786764851859883
2006-04-19,2006-06-01,400.0,271.9999971199996,1.4705882508650543
2006-04-26,2006-06-08,400.0,300.0,1.3333333333333333
2006-05-03,2006-06-15,400.0,325.0,1.2307692307692308
2006-05-10,2006-06-22,450.0,300.0,1.5
2006-05-17,2006-06-29,450.0,300.0,1.5
2006-05-24,2006-07-06,500.0,300.0,1.6666666666666667
2006-05-31,2006-07-13,500.0,300.0,1.6666666666666667
2006-06-07,2006-07-20,500.0,300.0,1.6666666666666667
2006-06-14,2006-07-27,500.0,300.0,1.6666666666666667
2006-06-21,2006-08-03,500.0,300.0,1.6666666666666667
2006-06-28,2006-08-10,500.0,300.0,1.6666666666666667
2006-07-05,2006-08-17,533.3333333083333,300.0,1.7777777776944443
2006-07-12,2006-08-24,533.3333333083333,300.0,1.7777777776944443
2006-07-19,2006-08-31,533.3333333083333,300.0,1.7777777776944443
2006-07-26,2006-09-07,600.0,300.0,2.0
2006-08-02,2006-09-14,600.0,375.0,1.6
2006-08-09,2006-09-21,600.0,400.0,1.5
2006-08-16,2006-09-28,600.0,330.0,1.8181818181818181
