STARTDATA,ENDDATA,MAX_PRICE,MIN_PRICE,MAXMINRATIO
2008-06-02,2008-07-15,5.997481073006406,5.342649000463217,1.1225669274710754
2008-06-09,2008-07-22,5.957630449296862,5.2167514239258885,1.1420192309668116
2008-06-16,2008-07-29,5.877603155268256,5.111756368787901,1.1498206743882733
2008-06-23,2008-08-05,5.7678558336367525,5.036928667461157,1.1451136623985616
2008-06-30,2008-08-12,5.638638576442967,5.0013555317125835,1.1274220640163455
2008-07-07,2008-08-19,5.5,5.0,1.1
2008-07-14,2008-08-26,6.0,5.0,1.2
2008-07-21,2008-09-02,6.0,4.7142834468199935,1.2727278848808472
2008-07-28,2008-09-09,6.0,4.0,1.5
2008-08-04,2008-09-16,6.0,4.0,1.5
2008-08-11,2008-09-23,6.0,4.0,1.5
2008-08-18,2008-09-30,6.0,3.816174199810293,1.5722552708150137
2008-08-25,2008-10-07,5.0,3.816174199810293,1.310212725679178
2008-09-01,2008-10-14,5.0,3.816174199810293,1.310212725679178
2008-09-08,2008-10-21,5.0,3.816174199810293,1.310212725679178
2008-09-15,2008-10-28,5.0,3.816174199810293,1.310212725679178
2008-09-22,2008-11-04,5.45291353503312,3.816174199810293,1.4288953411257252
2008-09-29,2008-11-11,7.17314094039746,3.9259259160493816,1.827120810169469
2008-10-06,2008-11-18,9.328467072772332,3.9259259160493816,2.3761189773441957
2008-10-13,2008-11-25,10.0,4.8214311225400905,2.0740729766417707
2008-10-20,2008-12-02,11.0,5.0,2.2
2008-10-27,2008-12-09,11.0,5.0,2.2
2008-11-03,2008-12-16,11.0,5.281639905558254,2.0826864755440635
2008-11-10,2008-12-23,11.0,4.0,2.75
2008-11-17,2008-12-30,11.0,4.0,2.75
2008-11-24,2009-01-06,11.0,4.0,2.75
2008-12-01,2009-01-13,11.0,4.0,2.75
2008-12-08,2009-01-20,9.0,4.0,2.25
2008-12-15,2009-01-27,8.0,4.0,2.0
2008-12-22,2009-02-03,7.0,4.0,1.75
2008-12-29,2009-02-10,7.0,5.0,1.4
2009-01-05,2009-02-17,7.0,5.0,1.4
2009-01-12,2009-02-24,7.0,5.0,1.4
2009-01-19,2009-03-03,7.0,5.0,1.4
2009-01-26,2009-03-10,8.083331790152036,5.0,1.616666358030407
2009-02-02,2009-03-17,9.0,6.0,1.5
2009-02-09,2009-03-24,10.0,6.0,1.6666666666666667
2009-02-16,2009-03-31,10.0,6.0,1.6666666666666667
2009-02-23,2009-04-07,10.193306847075927,6.0,1.6988844745126546
2009-03-02,2009-04-14,10.736842516788204,7.0,1.5338346452554579
2009-03-09,2009-04-21,11.0,7.888891632305375,1.3943657122826345
2009-03-16,2009-04-28,12.074074064197534,8.0,1.5092592580246917
2009-03-23,2009-05-05,12.074074064197534,8.818181798347107,1.3692248969578646
2009-03-30,2009-05-12,13.0,9.0,1.4444444444444444
2009-04-06,2009-05-19,13.0,10.131253527620226,1.2831580973231875
2009-04-13,2009-05-26,13.0,10.661143893142206,1.2193813469080241
2009-04-20,2009-06-02,14.0,11.0,1.2727272727272727
2009-04-27,2009-06-09,14.0,11.0,1.2727272727272727
2009-05-04,2009-06-16,14.0,11.0,1.2727272727272727
