STARTDATA,ENDDATA,MAX_PRICE,MIN_PRICE,MAXMINRATIO
2016-01-01,2016-02-13,3000.0,2900.0,1.0341261633919339
2016-01-08,2016-02-20,3000.0,2900.0,1.0341261633919339
2016-01-15,2016-02-27,2900.0,2900.0,0.9996552912788693
2016-01-22,2016-03-05,2900.0,2900.0,0.9996552912788693
2016-01-29,2016-03-12,2900.0,2800.0,1.035344519814352
2016-02-01,2016-03-15,2900.0,2800.0,1.035344519814352
2016-02-08,2016-03-22,2900.0,2800.0,1.035344519814352
2016-02-15,2016-03-29,2900.0,2800.0,1.035344519814352
2016-02-22,2016-04-05,2900.0,2800.0,1.035344519814352
2016-02-29,2016-04-12,2900.0,2800.0,1.035344519814352
2016-03-07,2016-04-19,2800.0,2800.0,0.9996429846483399
2016-03-14,2016-04-26,2800.0,2800.0,0.9996429846483399
2016-03-21,2016-05-03,2800.0,2800.0,0.9996429846483399
2016-03-28,2016-05-10,2800.0,2800.0,0.9996429846483399
2016-04-04,2016-05-17,2800.0,2800.0,0.9996429846483399
2016-04-11,2016-05-24,2800.0,2800.0,0.9996429846483399
2016-04-18,2016-05-31,2800.0,2800.0,0.9996429846483399
2016-04-25,2016-06-07,2800.0,2800.0,0.9996429846483399
2016-05-02,2016-06-14,2800.0,2800.0,0.9996429846483399
2016-05-09,2016-06-21,2800.0,2800.0,0.9996429846483399
2016-05-16,2016-06-28,2800.0,2800.0,0.9996429846483399
2016-05-23,2016-07-05,2800.0,2800.0,0.9996429846483399
2016-05-30,2016-07-12,2800.0,2800.0,0.9996429846483399
2016-06-06,2016-07-19,2800.0,2800.0,0.9996429846483399
2016-06-13,2016-07-26,2800.0,2800.0,0.9996429846483399
2016-06-20,2016-08-02,2800.0,2800.0,0.9996429846483399
2016-06-27,2016-08-09,2800.0,2800.0,0.9996429846483399
2016-07-04,2016-08-16,2800.0,2800.0,0.9996429846483399
2016-07-11,2016-08-23,2800.0,2800.0,0.9996429846483399
2016-07-18,2016-08-30,2800.0,2800.0,0.9996429846483399
2016-07-25,2016-09-06,2800.0,2800.0,0.9996429846483399
2016-08-01,2016-09-13,2800.0,2800.0,0.9996429846483399
2016-08-08,2016-09-20,2800.0,2800.0,0.9996429846483399
2016-08-15,2016-09-27,2800.0,2800.0,0.9996429846483399
2016-08-22,2016-10-04,2800.0,2800.0,0.9996429846483399
2016-08-29,2016-10-11,2800.0,2800.0,0.9996429846483399
2016-09-05,2016-10-18,2800.0,2800.0,0.9996429846483399
2016-09-12,2016-10-25,2800.0,2800.0,0.9996429846483399
2016-09-19,2016-11-01,2800.0,2800.0,0.9996429846483399
2016-09-26,2016-11-08,2800.0,2800.0,0.9996429846483399
2016-10-03,2016-11-15,2800.0,2800.0,0.9996429846483399
2016-10-10,2016-11-22,2800.0,2800.0,0.9996429846483399
2016-10-17,2016-11-29,2800.0,2800.0,0.9996429846483399
2016-10-24,2016-12-06,2800.0,2800.0,0.9996429846483399
2016-10-31,2016-12-13,2800.0,2800.0,0.9996429846483399
2016-11-07,2016-12-20,2800.0,2800.0,0.9996429846483399
2016-11-14,2016-12-27,2800.0,2800.0,0.9996429846483399
2016-11-21,2017-01-03,2800.0,2800.0,0.9996429846483399
2016-11-28,2017-01-10,2800.0,2800.0,0.9996429846483399
2016-12-05,2017-01-17,2800.0,2800.0,0.9996429846483399
2016-12-12,2017-01-24,2800.0,2800.0,0.9996429846483399
