MANDINAME,DATE,ARRIVAL,MIN,MAX,PRICE
BAREILLY,15/10/2016,0.6,7700,7750,7720
BAREILLY,20/10/2016,14.5,7600,7700,7665
BAREILLY,21/10/2016,17.4,7660,7800,7750
BAREILLY,22/10/2016,6.0,7750,8000,7770
BAREILLY,24/10/2016,39.7,7790,7860,7820
