DATE,DISPERSION,COMMODITY
2010-01-01,0.0464966358974099,ONION
2010-01-01,0.0409895911856011,TOMATO
2010-01-01,0.0347877837205065,POTATO
2010-01-01,0.024346071618250087,AVG
2010-01-01,0.016362329899124,GREEN GRAM DAL (MOONG DAL)
2010-01-01,0.0119077750835355,RICE
2010-01-01,0.0105927643280866,MASUR DAL
2010-01-01,0.009285621213487,MUSTARD OIL
2010-02-01,0.0537873905656805,TOMATO
2010-02-01,0.0521888296848781,POTATO
2010-02-01,0.0428378726610225,ONION
2010-02-01,0.02727200105177923,AVG
2010-02-01,0.0145579793620603,GREEN GRAM DAL (MOONG DAL)
2010-02-01,0.012001950100668,RICE
2010-02-01,0.0087321348603964,MUSTARD OIL
2010-02-01,0.0067978501277488,MASUR DAL
2010-03-01,0.0411236508432969,POTATO
2010-03-01,0.0340351115247505,TOMATO
2010-03-01,0.0292284864365632,ONION
2010-03-01,0.019945423958116444,AVG
2010-03-01,0.0137337027558315,GREEN GRAM DAL (MOONG DAL)
2010-03-01,0.0111406634246547,RICE
2010-03-01,0.0066043102248492,MUSTARD OIL
2010-03-01,0.0037520424968691,MASUR DAL
2010-04-01,0.0445167371609978,POTATO
2010-04-01,0.0271569164421811,TOMATO
2010-04-01,0.0259706439232832,ONION
2010-04-01,0.018882188718086085,AVG
2010-04-01,0.0151647993649828,GREEN GRAM DAL (MOONG DAL)
2010-04-01,0.0099065967066099,RICE
2010-04-01,0.0057626598915548,MUSTARD OIL
2010-04-01,0.003696967536993,MASUR DAL
2010-05-01,0.0302618626665413,TOMATO
2010-05-01,0.0249984606384937,ONION
2010-05-01,0.0238016324866552,POTATO
2010-05-01,0.016265432607721755,AVG
2010-05-01,0.0151547732318557,GREEN GRAM DAL (MOONG DAL)
2010-05-01,0.0089715927728516,RICE
2010-05-01,0.0062118471202377,MUSTARD OIL
2010-05-01,0.0044578593374171,MASUR DAL
2010-06-01,0.0441058398134359,TOMATO
