DATE,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,0.0430838723998523,Anomaly,Normal,Normal
2016-02-01,0.0,Normal,Normal,Normal
2016-03-01,0.0136946940189019,Normal,Normal,Normal
2016-04-01,0.007034203698677,Normal,Normal,Normal
2016-05-01,0.0,Normal,Normal,Normal
2016-06-01,0.0,Normal,Normal,Normal
2016-07-01,0.0087532356633348,Normal,Anomaly,Normal
2016-08-01,0.0096448544335613,Anomaly,Normal,Normal
2016-09-01,0.0088655015461656,Normal,Anomaly,Normal
2016-10-01,0.0,Normal,Normal,Normal
2016-11-01,0.0,Normal,Normal,Normal
2016-12-01,0.0,Normal,Normal,Normal
2017-01-01,0.0,Normal,Normal,Normal
2017-02-01,0.00933422012637,Normal,Anomaly,Normal
2017-03-01,0.0043715113714666,Normal,Normal,Normal
2017-04-01,0.0147341917713192,Normal,Normal,Normal
2017-05-01,0.0,Normal,Normal,Normal
2017-06-01,0.0066476814080471,Normal,Normal,Normal
2017-07-01,0.0,Normal,Normal,Normal
2017-08-01,0.008767534928161,Normal,Anomaly,Normal
2017-09-01,0.0,Normal,Normal,Normal
2017-10-01,0.0,Normal,Normal,Normal
2017-11-01,0.0,Normal,Normal,Normal
2017-12-01,0.0,Normal,Normal,Normal
2018-01-01,0.0,Normal,Normal,Normal
2018-02-01,0.0,Normal,Normal,Normal
2018-03-01,0.0,Normal,Normal,Normal
2018-04-01,0.0,Normal,Normal,Normal
2018-05-01,0.0166067000853381,Anomaly,Normal,Normal
2018-06-01,0.0063793890620201,Normal,Normal,Normal
2018-07-01,0.0075154478208436,Normal,Normal,Normal
2018-08-01,0.0014935337967676,Normal,Normal,Normal
2018-09-01,0.0028633614184329,Normal,Normal,Normal
2018-10-01,0.0014929260509305,Normal,Normal,Normal
2018-11-01,0.002782023300166,Normal,Normal,Normal
2018-12-01,0.0077081242864378,Anomaly,Normal,Normal
2019-01-01,0.0013102324380135,Normal,Normal,Normal
2019-02-01,0.0022356535458436,Normal,Normal,Normal
2019-03-01,0.0014221526984797,Normal,Normal,Normal
2019-04-01,0.0076324625447222,Normal,Anomaly,Normal
2019-05-01,0.0104879208795702,Anomaly,Normal,Normal
2019-06-01,0.0036757706140124,Normal,Normal,Normal
2019-07-01,0.0032137871404206,Normal,Normal,Normal
2019-08-01,0.0025442179816807,Normal,Normal,Normal
2019-09-01,0.1044542145356583,Anomaly,Anomaly,Anomaly
2019-10-01,0.0017309667568401,Normal,Normal,Normal
2019-11-01,0.0078236838261348,Anomaly,Anomaly,Normal
2019-12-01,0.0036184609270538,Normal,Normal,Normal
2020-01-01,0.0025850321319802,Normal,Normal,Normal
2020-02-01,0.1050923949878012,Anomaly,Anomaly,Anomaly
2020-03-01,0.1382654910725857,Anomaly,Anomaly,Anomaly
2020-04-01,0.0081441335993634,Normal,Normal,Normal
2020-05-01,0.0050059713210983,Normal,Normal,Normal
2020-06-01,0.0182005823653105,Normal,Anomaly,Normal
2020-07-01,0.0081486687225043,Normal,Normal,Normal
2020-08-01,0.0192019029092767,Anomaly,Anomaly,Normal
2020-09-01,0.2374038863759466,Anomaly,Anomaly,Anomaly
2020-10-01,0.1229002076319107,Anomaly,Normal,Anomaly
2020-11-01,0.0022286934536948,Normal,Normal,Normal
2020-12-01,0.0028074886395043,Normal,Normal,Normal
2021-01-01,0.0023075537106276,Normal,Normal,Normal
2021-02-01,0.0028679067961877,Normal,Normal,Normal
2021-03-01,0.0020546149922139,Normal,Normal,Normal
2021-04-01,0.0027284974196981,Normal,Normal,Normal
2021-05-01,0.0039837224860052,Normal,Normal,Normal
2021-06-01,0.0008655854632883,Normal,Normal,Normal
