DATE,STATENAME,MANDINAME,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,UTTAR PRADESH,CHHIBRAMAU(KANNUJ),0.0,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,FATEHPUR,0.0145905266994056,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,KAYAMGANJ,0.0,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,PRATAPGARH,0.0,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,RAATH,0.0052819300878356,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,SAFDARGANJ,0.0,Normal,Normal,Normal
2016-01-01,WEST BENGAL,DURGAPUR,0.0430838723998523,Anomaly,Normal,Normal
2016-01-01,WEST BENGAL,KASIPUR,0.0182404950485567,Normal,Normal,Normal
2016-01-01,WEST BENGAL,KATWA,0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,CHHIBRAMAU(KANNUJ),0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,FATEHPUR,0.0078887287855539,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,KAYAMGANJ,0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,PRATAPGARH,0.0,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,RAATH,0.0130228377395224,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,SAFDARGANJ,0.0,Normal,Normal,Normal
2016-02-01,WEST BENGAL,DURGAPUR,0.0,Normal,Normal,Normal
2016-02-01,WEST BENGAL,KASIPUR,0.0217346938643315,Normal,Normal,Normal
2016-02-01,WEST BENGAL,KATWA,0.032909301421945,Anomaly,Anomaly,Normal
2016-03-01,UTTAR PRADESH,CHHIBRAMAU(KANNUJ),0.0,Normal,Normal,Normal
2016-03-01,UTTAR PRADESH,FATEHPUR,0.0084926385995178,Normal,Normal,Normal
2016-03-01,UTTAR PRADESH,KAYAMGANJ,0.0,Normal,Normal,Normal
2016-03-01,UTTAR PRADESH,PRATAPGARH,0.0,Normal,Normal,Normal
2016-03-01,UTTAR PRADESH,RAATH,0.2650239538306185,Anomaly,Anomaly,Normal
2016-03-01,UTTAR PRADESH,SAFDARGANJ,0.0,Normal,Normal,Normal
2016-03-01,WEST BENGAL,DURGAPUR,0.0136946940189019,Normal,Normal,Normal
2016-03-01,WEST BENGAL,KASIPUR,0.0174544763736727,Normal,Normal,Normal
2016-03-01,WEST BENGAL,KATWA,0.0179216538468397,Normal,Normal,Normal
2016-04-01,UTTAR PRADESH,CHHIBRAMAU(KANNUJ),0.0,Normal,Normal,Normal
2016-04-01,UTTAR PRADESH,FATEHPUR,0.0088672105037134,Normal,Normal,Normal
2016-04-01,UTTAR PRADESH,KAYAMGANJ,0.0,Normal,Normal,Normal
2016-04-01,UTTAR PRADESH,PRATAPGARH,0.0006019792217721,Normal,Normal,Normal
2016-04-01,UTTAR PRADESH,RAATH,0.0070501915649496,Normal,Normal,Normal
2016-04-01,UTTAR PRADESH,SAFDARGANJ,0.0,Normal,Normal,Normal
2016-04-01,WEST BENGAL,DURGAPUR,0.007034203698677,Normal,Normal,Normal
2016-04-01,WEST BENGAL,KASIPUR,0.0102583307381732,Normal,Normal,Normal
2016-04-01,WEST BENGAL,KATWA,0.0231378221161298,Anomaly,Anomaly,Normal
2016-05-01,UTTAR PRADESH,CHHIBRAMAU(KANNUJ),0.0,Normal,Normal,Normal
2016-05-01,UTTAR PRADESH,FATEHPUR,0.0076409652517552,Normal,Normal,Normal
