DATE,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,0.0145905266994056,Normal,Normal,Normal
2016-02-01,0.0078887287855539,Normal,Normal,Normal
2016-03-01,0.0084926385995178,Normal,Normal,Normal
2016-04-01,0.0088672105037134,Normal,Normal,Normal
2016-05-01,0.0076409652517552,Normal,Normal,Normal
2016-06-01,0.0053709139627007,Normal,Normal,Normal
2016-07-01,0.0042134988807945,Normal,Normal,Normal
2016-08-01,0.0035153372165564,Normal,Normal,Normal
2016-09-01,0.0028124389598578,Normal,Normal,Normal
2016-10-01,0.0024019998981921,Normal,Normal,Normal
2016-11-01,0.0019197812496894,Normal,Normal,Normal
2016-12-01,0.0016301419757986,Normal,Normal,Normal
2017-01-01,0.0013260643726038,Normal,Normal,Normal
2017-02-01,0.0009751718747582,Normal,Normal,Normal
2017-03-01,0.0008633716985282,Normal,Normal,Normal
2017-04-01,0.0006490250642761,Normal,Normal,Normal
2017-05-01,0.0005020698812671,Normal,Normal,Normal
2017-06-01,0.0003432235969672,Normal,Normal,Normal
2017-07-01,0.0002246490706514,Normal,Normal,Normal
2017-08-01,0.0001082252669078,Normal,Normal,Normal
2017-09-01,0.0012437404938386,Normal,Normal,Normal
2017-10-01,0.0023281243580612,Normal,Normal,Normal
2017-11-01,0.0068822003547845,Normal,Normal,Normal
2017-12-01,0.0036373361542983,Normal,Normal,Normal
2018-01-01,0.0032402111938967,Normal,Normal,Normal
2018-02-01,0.0040941735276837,Normal,Normal,Normal
2018-03-01,0.0059018719626641,Normal,Normal,Normal
2018-04-01,0.0019779638728793,Normal,Normal,Normal
2018-05-01,0.0042416556368687,Normal,Normal,Normal
2018-06-01,0.0066606063564233,Normal,Normal,Normal
2018-07-01,0.0113484828532131,Normal,Normal,Anomaly
2018-08-01,0.0027082369247413,Normal,Normal,Normal
2018-09-01,0.1061879992420719,Anomaly,Anomaly,Anomaly
2018-10-01,0.0041858762849025,Normal,Normal,Normal
2018-11-01,0.0052879444007845,Normal,Normal,Normal
2018-12-01,0.0019309320256921,Normal,Normal,Normal
2019-01-01,0.0013342630884661,Normal,Normal,Normal
2019-02-01,0.0033526701468191,Normal,Anomaly,Normal
2019-03-01,0.0043678914865199,Normal,Anomaly,Normal
2019-04-01,0.0015342895694279,Normal,Normal,Normal
2019-05-01,0.0022251917502472,Normal,Normal,Normal
2019-06-01,0.0014809244206324,Normal,Normal,Normal
2019-07-01,0.0021915086532322,Normal,Normal,Normal
2019-08-01,0.0017796614077727,Normal,Normal,Normal
2019-09-01,0.0013574371883403,Normal,Normal,Normal
2019-10-01,0.0028977338473912,Normal,Normal,Normal
2019-11-01,0.0051797668073783,Normal,Anomaly,Normal
2019-12-01,0.0218740616116283,Anomaly,Anomaly,Normal
2020-01-01,0.0070611457400376,Normal,Normal,Normal
2020-02-01,0.0043842595561656,Normal,Normal,Normal
2020-03-01,0.0102603395169042,Normal,Normal,Normal
2020-04-01,0.0010083297203139,Normal,Normal,Normal
2020-05-01,0.0048983761334632,Normal,Normal,Normal
2020-06-01,0.0040930420526356,Normal,Normal,Normal
2020-07-01,0.0153369775540344,Normal,Normal,Normal
2020-08-01,0.0038177333251562,Normal,Normal,Normal
2020-09-01,0.0019624324952517,Normal,Normal,Normal
