DATE,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,0.0,Normal,Normal,Normal
2016-02-01,0.032909301421945,Anomaly,Anomaly,Normal
2016-03-01,0.0179216538468397,Normal,Normal,Normal
2016-04-01,0.0231378221161298,Anomaly,Anomaly,Normal
2016-05-01,0.1083567792700198,Anomaly,Anomaly,Normal
2016-06-01,0.0,Normal,Normal,Normal
2016-07-01,0.0,Normal,Normal,Normal
2016-08-01,0.0072763878421909,Normal,Normal,Normal
2016-09-01,0.0,Normal,Normal,Normal
2016-10-01,0.0076965127074721,Normal,Normal,Normal
2016-11-01,0.0066694842543598,Normal,Normal,Normal
2016-12-01,0.0,Normal,Normal,Normal
2017-01-01,0.0086908081785582,Anomaly,Normal,Normal
2017-02-01,0.0203350944933366,Anomaly,Anomaly,Normal
2017-03-01,0.0112575555381451,Normal,Normal,Normal
2017-04-01,0.0168185022775383,Normal,Normal,Normal
2017-05-01,0.018314125545917,Normal,Normal,Anomaly
2017-06-01,0.0070052681558556,Normal,Normal,Normal
2017-07-01,0.0040797968259128,Normal,Normal,Normal
2017-08-01,0.0026947323319684,Normal,Normal,Normal
2017-09-01,0.0027652370714438,Normal,Normal,Normal
2017-10-01,0.0186544915547315,Normal,Normal,Anomaly
2017-11-01,0.0026354722822277,Normal,Normal,Normal
2017-12-01,0.0021033440792941,Normal,Normal,Normal
2018-01-01,0.0,Normal,Normal,Normal
2018-02-01,0.0025556485445065,Normal,Normal,Normal
2018-03-01,0.0079146385059686,Anomaly,Normal,Normal
2018-04-01,0.0053296468064194,Normal,Normal,Normal
2018-05-01,0.0012627224295093,Normal,Normal,Normal
2018-06-01,0.0033714889139994,Normal,Normal,Normal
2018-07-01,0.0030567007990545,Normal,Normal,Normal
2018-08-01,0.0056178753321479,Normal,Normal,Normal
2018-09-01,0.0026162479682405,Normal,Normal,Normal
2018-10-01,0.001605649736175,Normal,Normal,Normal
2018-11-01,0.0044159632528164,Normal,Normal,Normal
2018-12-01,0.001254705144291,Normal,Normal,Normal
2019-01-01,0.0,Normal,Normal,Normal
2019-02-01,0.0020251704877078,Normal,Normal,Normal
2019-03-01,0.0046568172183077,Normal,Anomaly,Normal
2019-04-01,0.0020526644912839,Normal,Normal,Normal
2019-05-01,0.0009479596180698,Normal,Normal,Normal
2019-06-01,0.0022361621241248,Normal,Normal,Normal
2019-07-01,0.001236084361732,Normal,Normal,Normal
2019-08-01,0.0111300538609763,Anomaly,Anomaly,Normal
2019-09-01,0.000868999422692,Normal,Normal,Normal
2019-10-01,0.0054246792643877,Anomaly,Normal,Normal
2019-11-01,0.0033611072939898,Normal,Normal,Normal
2019-12-01,0.0041258207993565,Normal,Normal,Normal
2020-01-01,0.0066524151043262,Normal,Normal,Normal
2020-02-01,0.0044530618570929,Normal,Normal,Normal
2020-03-01,0.0036369098369245,Normal,Normal,Normal
2020-04-01,0.0058671445979456,Normal,Normal,Normal
2020-05-01,0.0089833000994405,Anomaly,Normal,Normal
2020-06-01,0.0029610388565944,Normal,Normal,Normal
2020-07-01,0.0028467195623893,Normal,Normal,Normal
2020-08-01,0.0020001007411133,Normal,Normal,Normal
2020-09-01,0.0042100763460736,Normal,Normal,Normal
2020-10-01,0.0072791505364932,Normal,Normal,Normal
2020-11-01,0.0027464318328475,Normal,Normal,Normal
2020-12-01,0.0076007220994794,Normal,Normal,Normal
2021-01-01,0.0038765488929467,Normal,Normal,Normal
2021-02-01,0.0031199798089344,Normal,Normal,Normal
2021-03-01,0.007255023376421,Normal,Normal,Normal
2021-04-01,0.0085112561048797,Normal,Normal,Normal
2021-05-01,0.0054668547824449,Normal,Normal,Normal
2021-06-01,0.000911188210049,Normal,Normal,Normal
