DATE,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,0.0338417858054806,Normal,Normal,Normal
2016-02-01,0.0143183312657792,Normal,Normal,Normal
2016-03-01,0.0119286012042464,Normal,Normal,Normal
2016-04-01,0.0,Normal,Normal,Normal
2016-05-01,0.0183661501328509,Normal,Normal,Normal
2016-06-01,0.0131257717444203,Normal,Normal,Normal
2016-07-01,0.0,Normal,Normal,Normal
2016-08-01,0.0260522760574992,Normal,Normal,Normal
2016-09-01,0.0091630203192001,Normal,Normal,Normal
2016-10-01,0.0076204368268366,Normal,Normal,Normal
2016-11-01,0.0091481297488868,Normal,Anomaly,Normal
2016-12-01,0.0,Normal,Normal,Normal
2017-01-01,0.0161243269471021,Normal,Anomaly,Normal
2017-02-01,0.0,Normal,Normal,Normal
2017-03-01,0.0302854842025021,Normal,Anomaly,Anomaly
2017-04-01,0.0165819121242004,Normal,Normal,Normal
2017-05-01,0.0085390377664293,Normal,Normal,Normal
2017-06-01,0.0095706693983449,Normal,Normal,Normal
2017-07-01,0.0069183177314277,Normal,Normal,Normal
2017-08-01,0.0146210688280373,Normal,Anomaly,Normal
2017-09-01,0.0056759450503661,Normal,Normal,Normal
2017-10-01,0.0076741186061865,Normal,Anomaly,Normal
2017-11-01,0.0102736894488001,Normal,Normal,Anomaly
2017-12-01,0.0093767790341541,Normal,Normal,Normal
2018-01-01,0.0035897900469568,Normal,Normal,Anomaly
2018-02-01,0.003153082244148,Normal,Normal,Normal
2018-03-01,0.0103547298766954,Normal,Anomaly,Anomaly
2018-04-01,0.004509790559246,Normal,Normal,Normal
2018-05-01,0.0104271290574221,Normal,Anomaly,Normal
2018-06-01,0.0114929835006135,Normal,Anomaly,Normal
2018-07-01,0.0121008520745572,Normal,Normal,Anomaly
2018-08-01,0.0062046572187006,Normal,Normal,Normal
2018-09-01,0.0,Normal,Normal,Normal
2018-10-01,0.0056808852189522,Normal,Normal,Normal
2018-11-01,0.0017549585309361,Normal,Normal,Normal
2018-12-01,0.0104238411974687,Normal,Anomaly,Normal
2019-01-01,0.0079155066082467,Normal,Normal,Anomaly
2019-02-01,0.0067370417230076,Normal,Normal,Normal
2019-03-01,0.0156356871549465,Normal,Anomaly,Anomaly
2019-04-01,0.0050809372170052,Normal,Normal,Normal
2019-05-01,0.0088681046159323,Normal,Anomaly,Normal
2019-06-01,0.0044858023115904,Normal,Normal,Normal
2019-07-01,0.0047239963960712,Normal,Normal,Normal
2019-08-01,0.004932283767185,Normal,Normal,Normal
2019-09-01,0.0033238847646439,Normal,Normal,Normal
2019-10-01,0.0070687583451769,Normal,Normal,Normal
2019-11-01,0.0047628804783316,Normal,Normal,Normal
2019-12-01,0.012359529048259,Normal,Anomaly,Anomaly
2020-01-01,0.0157491980976448,Normal,Anomaly,Anomaly
2020-02-01,0.0283943752284164,Normal,Anomaly,Anomaly
2020-03-01,0.0168622729797791,Normal,Normal,Anomaly
2020-04-01,0.0243674371150361,Normal,Anomaly,Normal
2020-05-01,0.0222717250764107,Normal,Normal,Anomaly
2020-06-01,0.0102909236684919,Normal,Normal,Normal
2020-07-01,0.0202957084939524,Normal,Anomaly,Anomaly
2020-08-01,0.022096875295021,Normal,Normal,Anomaly
2020-09-01,0.0146569685440062,Normal,Normal,Anomaly
2020-10-01,0.0,Normal,Normal,Normal
2020-11-01,0.0255108959694141,Normal,Anomaly,Anomaly
2020-12-01,0.007003223112856,Normal,Normal,Anomaly
2021-01-01,0.0155657867186166,Normal,Anomaly,Anomaly
2021-02-01,0.0103364661650883,Normal,Normal,Normal
2021-03-01,0.00967058364637,Normal,Normal,Normal
2021-04-01,0.0491524316151147,Normal,Anomaly,Anomaly
2021-05-01,0.0037097561410807,Normal,Normal,Normal
2021-06-01,0.0007052449362973,Normal,Normal,Normal
