DATE,HIGH,LOW
2019-01-10,1,0
2019-01-11,1,0
2019-04-15,1,0
2019-05-12,1,0
2019-05-13,1,0
2019-05-18,1,0
2019-05-30,1,0
2019-06-30,1,0
2019-07-10,1,0
2019-07-13,1,0
2019-07-24,1,0
2019-08-08,1,0
2019-08-22,1,0
2019-08-31,0,1
2019-10-08,1,0
2019-10-09,1,0
2019-10-31,1,0
2019-11-07,1,0
