STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,LOW,HIGH,STATENAME,MANDINAME
2016-12-12,2017-01-24,Anomaly,,Normal,1.6963528415258975,YES,NO,PUNJAB,ZIRA
2016-12-12,2017-01-24,Anomaly,,Normal,1.6629711751662972,YES,NO,WEST BENGAL,KALYANI
2016-12-12,2017-01-24,Anomaly,,Normal,1.5439429928741093,YES,NO,WEST BENGAL,DURGAPUR
2016-12-12,2017-01-24,Anomaly,,Normal,1.752797016625775,YES,NO,PUNJAB,BARNALA
2016-12-19,2017-01-31,Normal,,Normal,1.6957605985037407,YES,NO,WEST BENGAL,SHEORAPHULY
2016-12-19,2017-01-31,Normal,,Normal,1.6780045351473922,YES,NO,WEST BENGAL,ULUBERIA
2016-12-26,2017-02-07,Normal,,Normal,1.2749445676274944,YES,NO,UTTAR PRADESH,FAIZABAD
2017-01-01,2017-02-13,Normal,Normal,Normal,1.1431535269709543,NO,YES,NCT OF DELHI,AZADPUR
2017-01-22,2017-03-06,Normal,Anomaly,Normal,2.016574585635359,YES,NO,PUNJAB,MALERKOTLA
2017-01-22,2017-03-06,Normal,Normal,Normal,1.3707165109034267,YES,NO,WEST BENGAL,KATWA
2017-01-22,2017-03-06,Normal,Normal,Normal,1.2860310421286032,YES,NO,UTTAR PRADESH,BASTI
2017-01-22,2017-03-06,Normal,Normal,Normal,2.487562189054726,YES,NO,PUNJAB,AJNALA
2017-01-22,2017-03-06,Normal,Normal,Normal,1.2624584717607974,YES,NO,WEST BENGAL,BISHNUPUR(BANKURA)
2017-01-29,2017-03-13,Normal,Normal,Normal,2.1956087824351296,YES,NO,UTTAR PRADESH,LUCKNOW
2017-01-29,2017-03-13,Normal,Anomaly,Normal,1.9867549668874167,,,PUNJAB,SANGRUR
2017-01-29,2017-03-13,Anomaly,Anomaly,Normal,1.9886363636363635,YES,NO,PUNJAB,BARNALA
2017-01-29,2017-03-13,Normal,Anomaly,Normal,1.3944223107569722,YES,NO,PUNJAB,ZIRA
2017-01-29,2017-03-13,Normal,Normal,Normal,1.716500553627825,YES,NO,WEST BENGAL,KALYANI
2017-01-29,2017-03-13,Normal,Anomaly,Normal,1.495016611295681,YES,NO,WEST BENGAL,ISLAMPUR
2017-01-29,2017-03-13,Normal,Anomaly,Normal,1.4018691588785046,NO,YES,WEST BENGAL,DURGAPUR
2017-01-29,2017-03-13,Normal,Normal,Normal,1.2681912681912682,NO,YES,UTTAR PRADESH,LAKHIMPUR
2017-02-05,2017-03-20,Normal,Anomaly,Normal,1.4076246334310851,YES,NO,WEST BENGAL,ULUBERIA
2017-02-05,2017-03-20,Normal,Anomaly,Normal,1.440443213296399,NO,YES,WEST BENGAL,SHEORAPHULY
2017-02-12,2017-03-27,Normal,Normal,Normal,1.2416851441241683,NO,YES,UTTAR PRADESH,FAIZABAD
2017-02-19,2017-04-03,Normal,Normal,Normal,1.335243553008596,NO,YES,NCT OF DELHI,AZADPUR
2017-03-12,2017-04-24,Normal,Normal,Normal,1.0778443113772456,NO,YES,UTTAR PRADESH,BASTI
2017-03-12,2017-04-24,Normal,Normal,Normal,1.509433962264151,NO,YES,WEST BENGAL,BISHNUPUR(BANKURA)
2017-03-12,2017-04-24,Normal,Normal,Normal,1.346633416458853,NO,YES,WEST BENGAL,KATWA
2017-03-12,2017-04-24,Normal,Normal,Normal,1.702127659574468,YES,NO,PUNJAB,MALERKOTLA
2017-03-12,2017-04-24,Normal,Normal,Normal,1.9933554817275747,YES,NO,PUNJAB,AJNALA
2017-03-19,2017-05-01,Normal,Normal,Normal,1.3663764233774134,YES,NO,UTTAR PRADESH,LAKHIMPUR
2017-03-19,2017-05-01,Normal,Normal,Normal,1.653543307086614,NO,YES,WEST BENGAL,DURGAPUR
2017-03-19,2017-05-01,Normal,Anomaly,Normal,1.718213058419244,YES,NO,WEST BENGAL,ISLAMPUR
2017-03-19,2017-05-01,Normal,Anomaly,Normal,1.6556291390728477,YES,NO,PUNJAB,BARNALA
2017-03-19,2017-05-01,Normal,Anomaly,Normal,2.487562189054726,YES,NO,PUNJAB,ZIRA
2017-03-19,2017-05-01,Normal,Normal,Normal,1.5101188148721263,YES,NO,UTTAR PRADESH,LUCKNOW
2017-03-19,2017-05-01,Anomaly,Anomaly,Normal,1.3245033112582782,,,PUNJAB,SANGRUR
2017-03-26,2017-05-08,Normal,Normal,Normal,1.5919309039758762,NO,YES,WEST BENGAL,KALYANI
2017-03-26,2017-05-08,Normal,Normal,Normal,1.5396113642319762,NO,YES,WEST BENGAL,SHEORAPHULY
2017-04-02,2017-05-15,Normal,Normal,Normal,1.3303769401330376,YES,NO,UTTAR PRADESH,FAIZABAD
2017-04-09,2017-05-22,Normal,Normal,Normal,1.2659846547314575,NO,YES,NCT OF DELHI,AZADPUR
2017-04-09,2017-05-22,Normal,Normal,Normal,1.3080895008605853,YES,NO,WEST BENGAL,ULUBERIA
2017-04-30,2017-06-12,Normal,Normal,Normal,1.109350237717908,YES,NO,WEST BENGAL,KATWA
2017-04-30,2017-06-12,Normal,Anomaly,Normal,1.497005988023952,NO,NO,UTTAR PRADESH,BASTI
2017-04-30,2017-06-12,Normal,Anomaly,Normal,1.9933554817275747,YES,NO,PUNJAB,AJNALA
2017-04-30,2017-06-12,Anomaly,Anomaly,Anomaly,2.106350026273671,YES,NO,PUNJAB,MALERKOTLA
2017-04-30,2017-06-12,Normal,Anomaly,Normal,1.0671256454388984,YES,NO,WEST BENGAL,BISHNUPUR(BANKURA)
2017-05-07,2017-06-19,Normal,Normal,Normal,1.2678288431061806,YES,NO,WEST BENGAL,DURGAPUR
2017-05-07,2017-06-19,Anomaly,Anomaly,Anomaly,1.492537313432836,YES,NO,PUNJAB,ZIRA
2017-05-07,2017-06-19,Normal,Anomaly,Normal,1.8803418803418803,NO,YES,WEST BENGAL,ISLAMPUR
2017-05-07,2017-06-19,Normal,Anomaly,Normal,1.079429735234216,NO,YES,UTTAR PRADESH,LAKHIMPUR
2017-05-07,2017-06-19,Anomaly,Anomaly,Normal,2.0418848167539267,YES,NO,PUNJAB,BARNALA
2017-05-07,2017-06-19,Anomaly,Anomaly,Anomaly,3.3112582781456954,,,PUNJAB,SANGRUR
2017-05-07,2017-06-19,Normal,Anomaly,Normal,1.134453781512605,NO,YES,UTTAR PRADESH,LUCKNOW
2017-05-14,2017-06-26,Normal,Anomaly,Normal,1.1410459587955626,YES,NO,WEST BENGAL,SHEORAPHULY
2017-05-14,2017-06-26,Normal,Normal,Normal,1.160058737151248,YES,NO,WEST BENGAL,KALYANI
2017-05-21,2017-07-03,Normal,Anomaly,Normal,1.497005988023952,NO,YES,UTTAR PRADESH,FAIZABAD
2017-05-28,2017-07-10,Normal,Anomaly,Normal,2.137404580152672,NO,NO,NCT OF DELHI,AZADPUR
2017-05-28,2017-07-10,Normal,Anomaly,Normal,1.0243277848911652,NO,YES,WEST BENGAL,ULUBERIA
2017-06-18,2017-07-31,Normal,Anomaly,Normal,1.2569316081330868,YES,NO,WEST BENGAL,KATWA
2017-06-18,2017-07-31,Normal,Anomaly,Normal,1.0507880910683012,YES,NO,WEST BENGAL,BISHNUPUR(BANKURA)
2017-06-18,2017-07-31,Normal,Anomaly,Normal,1.745635910224439,NO,YES,PUNJAB,AJNALA
2017-06-18,2017-07-31,Anomaly,Anomaly,Anomaly,1.9900497512437807,YES,NO,PUNJAB,MALERKOTLA
2017-06-18,2017-07-31,Normal,Anomaly,Normal,1.3465160075329567,YES,NO,UTTAR PRADESH,BASTI
2017-06-25,2017-08-07,Normal,Anomaly,Normal,1.0413694721825963,YES,NO,WEST BENGAL,ISLAMPUR
2017-06-25,2017-08-07,Normal,Anomaly,Normal,1.0719530102790014,YES,NO,WEST BENGAL,DURGAPUR
2017-06-25,2017-08-07,Normal,Anomaly,Normal,1.32890365448505,YES,NO,PUNJAB,ZIRA
2017-06-25,2017-08-07,Anomaly,Anomaly,Anomaly,1.593625498007968,,,PUNJAB,SANGRUR
2017-06-25,2017-08-07,Normal,Anomaly,Normal,1.1804222648752398,YES,NO,UTTAR PRADESH,LAKHIMPUR
2017-06-25,2017-08-07,Normal,Anomaly,Normal,1.31935047367994,NO,YES,UTTAR PRADESH,LUCKNOW
2017-06-25,2017-08-07,Anomaly,Anomaly,Anomaly,1.6386775123447772,YES,NO,PUNJAB,BARNALA
2017-07-02,2017-08-14,Normal,Anomaly,Normal,1.119515885022693,YES,NO,WEST BENGAL,KALYANI
2017-07-02,2017-08-14,Normal,Anomaly,Normal,1.0990385658291333,YES,NO,WEST BENGAL,SHEORAPHULY
2017-07-09,2017-08-21,Normal,Anomaly,Normal,1.3173652694610778,YES,NO,UTTAR PRADESH,FAIZABAD
2017-07-16,2017-08-28,Normal,Anomaly,Normal,1.1126961483594864,YES,NO,WEST BENGAL,ULUBERIA
2017-07-16,2017-08-28,Normal,Anomaly,Normal,1.261739631718418,YES,NO,NCT OF DELHI,AZADPUR
2017-08-06,2017-09-18,Normal,Anomaly,Normal,4.98960498960499,YES,NO,WEST BENGAL,KATWA
2017-08-06,2017-09-18,Anomaly,Anomaly,Normal,1.9933554817275747,YES,NO,PUNJAB,AJNALA
2017-08-06,2017-09-18,Normal,Anomaly,Normal,1.088929219600726,YES,NO,WEST BENGAL,BISHNUPUR(BANKURA)
2017-08-06,2017-09-18,Normal,Anomaly,Normal,1.1350293542074363,YES,NO,UTTAR PRADESH,BASTI
2017-08-06,2017-09-18,Anomaly,Anomaly,Anomaly,1.8138678940062705,YES,NO,PUNJAB,MALERKOTLA
2017-08-13,2017-09-25,Normal,Anomaly,Normal,1.2375249500998005,YES,NO,UTTAR PRADESH,LAKHIMPUR
2017-08-13,2017-09-25,Normal,Anomaly,Normal,1.2479201331114809,YES,NO,WEST BENGAL,ISLAMPUR
2017-08-13,2017-09-25,Anomaly,Anomaly,Anomaly,1.195219123505976,,,PUNJAB,SANGRUR
2017-08-13,2017-09-25,Normal,Anomaly,Normal,1.0950080515297906,YES,NO,WEST BENGAL,DURGAPUR
2017-08-13,2017-09-25,Anomaly,Anomaly,Anomaly,1.702127659574468,YES,NO,PUNJAB,BARNALA
2017-08-13,2017-09-25,Normal,Anomaly,Normal,5.9880239520958085,YES,NO,UTTAR PRADESH,LUCKNOW
2017-08-13,2017-09-25,Anomaly,Anomaly,Normal,9.966777408637874,YES,NO,PUNJAB,ZIRA
2017-08-20,2017-10-02,Normal,Anomaly,Normal,1.2704174228675136,YES,NO,WEST BENGAL,KALYANI
2017-08-20,2017-10-02,Normal,Anomaly,Normal,1.1299435028248588,YES,NO,WEST BENGAL,SHEORAPHULY
2017-08-27,2017-10-09,Normal,Anomaly,Normal,1.164079822616408,YES,NO,UTTAR PRADESH,FAIZABAD
2017-09-03,2017-10-16,Normal,Anomaly,Normal,1.059001512859304,YES,NO,WEST BENGAL,ULUBERIA
2017-09-03,2017-10-16,Normal,Anomaly,Normal,1.1210191082802548,YES,NO,NCT OF DELHI,AZADPUR
2017-09-24,2017-11-06,Normal,Anomaly,Normal,1.3305613305613306,NO,YES,WEST BENGAL,KATWA
2017-09-24,2017-11-06,Normal,Anomaly,Normal,1.064638783269962,NO,YES,UTTAR PRADESH,BASTI
2017-09-24,2017-11-06,Anomaly,Anomaly,Normal,1.369239330335304,YES,NO,PUNJAB,AJNALA
2017-09-24,2017-11-06,Normal,Anomaly,Normal,1.2681912681912682,NO,YES,WEST BENGAL,BISHNUPUR(BANKURA)
2017-09-24,2017-11-06,Anomaly,Anomaly,Anomaly,1.5602836879432624,YES,NO,PUNJAB,MALERKOTLA
2017-10-01,2017-11-13,Normal,Anomaly,Normal,1.057884231536926,YES,NO,UTTAR PRADESH,LAKHIMPUR
2017-10-01,2017-11-13,Normal,Anomaly,Normal,1.1272141706924317,YES,NO,WEST BENGAL,DURGAPUR
2017-10-01,2017-11-13,Anomaly,Anomaly,Anomaly,1.9867549668874167,,,PUNJAB,SANGRUR
2017-10-01,2017-11-13,Anomaly,Anomaly,Anomaly,1.492537313432836,YES,NO,PUNJAB,ZIRA
2017-10-01,2017-11-13,Normal,Anomaly,Normal,1.1300914548582663,NO,YES,UTTAR PRADESH,LUCKNOW
2017-10-01,2017-11-13,Normal,Anomaly,Normal,1.09375,YES,NO,WEST BENGAL,ISLAMPUR
2017-10-01,2017-11-13,Anomaly,Anomaly,Anomaly,1.7624356773765204,YES,NO,PUNJAB,BARNALA
2017-10-08,2017-11-20,Normal,Normal,Normal,1.2869305923149723,YES,NO,WEST BENGAL,KALYANI
2017-10-08,2017-11-20,Normal,Anomaly,Normal,1.2939001848428835,NO,YES,WEST BENGAL,SHEORAPHULY
2017-10-15,2017-11-27,Normal,Anomaly,Normal,1.4962593516209477,NO,YES,UTTAR PRADESH,FAIZABAD
2017-10-22,2017-12-04,Normal,Normal,Normal,1.201526717557252,YES,NO,NCT OF DELHI,AZADPUR
2017-10-22,2017-12-04,Normal,Normal,Normal,1.1922503725782414,YES,NO,WEST BENGAL,ULUBERIA
2017-11-12,2017-12-25,Normal,Normal,Normal,1.3921113689095128,YES,NO,WEST BENGAL,BISHNUPUR(BANKURA)
2017-11-12,2017-12-25,Normal,Normal,Normal,2.9925187032418954,YES,NO,PUNJAB,AJNALA
2017-11-12,2017-12-25,Anomaly,Normal,Anomaly,2.7602905574019894,YES,NO,PUNJAB,MALERKOTLA
2017-11-12,2017-12-25,Normal,Normal,Normal,1.054613935969868,YES,NO,UTTAR PRADESH,BASTI
2017-11-12,2017-12-25,Normal,Normal,Normal,1.6152019002375295,YES,NO,WEST BENGAL,KATWA
2017-11-19,2018-01-01,Normal,Normal,Normal,1.0695187165775402,YES,NO,WEST BENGAL,ISLAMPUR
2017-11-19,2018-01-01,Anomaly,Normal,Normal,3.3112582781456954,NO,YES,PUNJAB,ZIRA
2017-11-19,2018-01-01,Anomaly,Normal,Anomaly,14.900662251655628,YES,NO,PUNJAB,BARNALA
2017-11-19,2018-01-01,Normal,Normal,Normal,1.377245508982036,YES,NO,WEST BENGAL,DURGAPUR
2017-11-19,2018-01-01,Anomaly,Normal,Normal,3.9800995024875614,,,PUNJAB,SANGRUR
2017-11-19,2018-01-01,Normal,Normal,Normal,1.1554621848739497,YES,NO,UTTAR PRADESH,LUCKNOW
2017-11-19,2018-01-01,Normal,Normal,Normal,1.1177644710578842,YES,NO,UTTAR PRADESH,LAKHIMPUR
2017-11-26,2018-01-08,Normal,Normal,Normal,2.122186495176849,YES,NO,WEST BENGAL,SHEORAPHULY
2017-11-26,2018-01-08,Normal,Normal,Normal,2.0775623268698062,YES,NO,WEST BENGAL,KALYANI
2017-12-03,2018-01-15,Normal,Normal,Normal,1.6209476309226931,NO,YES,UTTAR PRADESH,FAIZABAD
2017-12-10,2018-01-22,Normal,Normal,Normal,1.2979721597678315,YES,NO,NCT OF DELHI,AZADPUR
2017-12-10,2018-01-22,Normal,Normal,Normal,1.8248175182481752,YES,NO,WEST BENGAL,ULUBERIA
2017-12-31,2018-02-12,Anomaly,Normal,Normal,1.3504823151125402,YES,NO,WEST BENGAL,BISHNUPUR(BANKURA)
2017-12-31,2018-02-12,Anomaly,Normal,Anomaly,1.791044776119403,YES,NO,PUNJAB,MALERKOTLA
2017-12-31,2018-02-12,Anomaly,Normal,Normal,1.685823754789272,YES,NO,WEST BENGAL,KATWA
2017-12-31,2018-02-12,Anomaly,Normal,Anomaly,1.64383561659189,YES,NO,PUNJAB,AJNALA
2017-12-31,2018-02-12,Normal,Normal,Normal,1.134301270417423,NO,YES,UTTAR PRADESH,BASTI
2018-01-07,2018-02-19,Normal,Normal,Normal,1.1477045908183632,NO,YES,UTTAR PRADESH,LUCKNOW
2018-01-07,2018-02-19,Anomaly,Normal,Anomaly,2.5165562913907285,YES,NO,PUNJAB,BARNALA
2018-01-07,2018-02-19,Anomaly,Normal,Anomaly,1.195219123505976,YES,NO,PUNJAB,ZIRA
2018-01-07,2018-02-19,Normal,Normal,Normal,1.057884231536926,YES,NO,UTTAR PRADESH,LAKHIMPUR
2018-01-07,2018-02-19,Anomaly,Normal,Anomaly,1.593625498007968,,,PUNJAB,SANGRUR
2018-01-14,2018-02-26,Normal,Normal,Normal,1.3972055888223551,NO,YES,WEST BENGAL,DURGAPUR
2018-01-14,2018-02-26,Normal,Normal,Normal,1.6620498614958448,NO,YES,WEST BENGAL,KALYANI
2018-01-14,2018-02-26,Normal,Normal,Normal,1.996007984031936,NO,YES,WEST BENGAL,ISLAMPUR
2018-01-14,2018-02-26,Normal,Normal,Normal,2.528735632183908,NO,YES,WEST BENGAL,SHEORAPHULY
2018-01-21,2018-03-05,Normal,Normal,Normal,1.3972055888223551,YES,NO,UTTAR PRADESH,FAIZABAD
2018-01-28,2018-03-12,Normal,Normal,Normal,1.6071428571428572,NO,YES,NCT OF DELHI,AZADPUR
2018-02-11,2018-03-26,Normal,Normal,Normal,1.733800350262697,YES,NO,WEST BENGAL,ULUBERIA
2018-02-18,2018-04-02,Normal,Normal,Normal,1.7060367454068242,NO,YES,PUNJAB,MALERKOTLA
2018-02-18,2018-04-02,Anomaly,Normal,Anomaly,1.6611295681063123,YES,NO,PUNJAB,AJNALA
2018-02-25,2018-04-09,Normal,Normal,Anomaly,1.8126888217522656,NO,YES,PUNJAB,BARNALA
2018-02-25,2018-04-09,Normal,Normal,Normal,1.549053356282272,YES,NO,UTTAR PRADESH,LUCKNOW
2018-02-25,2018-04-09,Anomaly,Normal,Anomaly,1.3960703366203788,YES,NO,PUNJAB,ZIRA
2018-02-25,2018-04-09,Normal,Normal,Anomaly,1.84804928142259,,,PUNJAB,SANGRUR
2018-03-04,2018-04-16,Normal,Normal,Normal,1.488880466335977,YES,NO,WEST BENGAL,DURGAPUR
2018-03-04,2018-04-16,Normal,Normal,Normal,1.3869625520110958,NO,YES,WEST BENGAL,KATWA
2018-03-11,2018-04-23,Normal,Normal,Normal,1.642512077294686,YES,NO,UTTAR PRADESH,LAKHIMPUR
