STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,LOW,HIGH
2016-01-01,2016-02-13,,,Normal,1.4559068219633944,YES,NO
2016-01-08,2016-02-20,,,Normal,1.2895174708818635,YES,NO
2016-01-15,2016-02-27,,,Normal,1.663893510815308,YES,NO
2016-01-22,2016-03-05,,,Normal,1.663893510815308,YES,NO
2016-01-29,2016-03-12,,,Normal,1.663893510815308,YES,NO
2016-02-01,2016-03-15,Normal,,Normal,1.663893510815308,YES,NO
2016-02-08,2016-03-22,Normal,,Normal,1.597444089456869,YES,NO
2016-02-15,2016-03-29,Normal,,Normal,1.4792899408284024,NO,NO
2016-02-22,2016-04-05,Normal,,Normal,1.2484394506866416,NO,NO
2016-02-29,2016-04-12,Normal,,Normal,1.2484394506866416,NO,NO
2016-03-07,2016-04-19,Normal,,Normal,1.2106537530266344,NO,NO
2016-03-14,2016-04-26,Normal,,Normal,1.3807285546415982,NO,NO
2016-03-21,2016-05-03,Normal,,Normal,1.4101057579318448,NO,NO
2016-03-28,2016-05-10,Normal,,Normal,1.5433395388195943,NO,NO
2016-04-04,2016-05-17,Normal,,Normal,1.772252020645496,NO,NO
2016-04-11,2016-05-24,Normal,,Normal,1.7408675799086757,NO,NO
2016-04-18,2016-05-31,Normal,,Normal,1.5234765234765235,NO,NO
2016-04-25,2016-06-07,Normal,,Normal,1.3543516873889876,NO,NO
2016-05-02,2016-06-14,Normal,,Normal,1.3543516873889876,NO,NO
2016-05-09,2016-06-21,Normal,,Normal,1.2190247801758594,NO,NO
2016-05-16,2016-06-28,Normal,,Normal,1.0854583046175053,NO,NO
2016-05-23,2016-07-05,Normal,,Normal,1.1026878015161958,NO,NO
2016-05-30,2016-07-12,Normal,,Normal,1.1199172984148862,NO,NO
2016-06-06,2016-07-19,Normal,,Normal,1.2232942798070296,NO,NO
2016-06-13,2016-07-26,Normal,,Normal,1.2025745257452574,NO,NO
2016-06-20,2016-08-02,Normal,,Normal,1.2025745257452574,NO,NO
2016-06-27,2016-08-09,Normal,,Normal,1.126269035532995,NO,NO
2016-07-04,2016-08-16,Normal,,Normal,1.1086820737039351,NO,NO
2016-07-11,2016-08-23,Normal,,Normal,1.2447405329593269,NO,NO
2016-07-18,2016-08-30,Normal,,Normal,1.2447405329593269,NO,NO
2016-07-25,2016-09-06,Normal,,Normal,1.2447405329593269,NO,NO
2016-08-01,2016-09-13,Normal,,Normal,1.2447405329593269,NO,NO
2016-08-08,2016-09-20,Normal,,Normal,1.1921458625525947,NO,NO
2016-08-15,2016-09-27,Normal,,Normal,1.1746143057503506,NO,NO
2016-08-22,2016-10-04,Normal,,Normal,1.1044880785413744,NO,NO
2016-08-29,2016-10-11,Normal,,Normal,1.1044880785413744,NO,NO
2016-09-05,2016-10-18,Normal,,Normal,1.1044880785413744,NO,NO
2016-09-12,2016-10-25,Normal,,Normal,1.2106072252113758,NO,NO
2016-09-19,2016-11-01,Normal,,Normal,1.2106072252113758,NO,NO
2016-09-26,2016-11-08,Normal,,Normal,1.1529592621060722,NO,NO
2016-10-03,2016-11-15,Normal,,Normal,1.2489592006661117,NO,NO
2016-10-10,2016-11-22,Normal,,Normal,1.5772870662460567,NO,NO
2016-10-17,2016-11-29,Normal,,Normal,1.5772870662460567,NO,NO
2016-10-24,2016-12-06,Normal,,Normal,2.254428341384863,NO,YES
2016-10-31,2016-12-13,Anomaly,,Normal,3.104212860310421,YES,NO
2016-11-07,2016-12-20,Anomaly,,Normal,3.1353919239904986,YES,NO
2016-11-14,2016-12-27,Anomaly,,Normal,2.969121140142518,YES,NO
2016-11-21,2017-01-03,Anomaly,,Normal,2.375296912114014,NO,YES
2016-11-28,2017-01-10,Anomaly,,Normal,2.375296912114014,YES,NO
2016-12-05,2017-01-17,Anomaly,,Normal,1.9002375296912115,YES,NO
2016-12-12,2017-01-24,Anomaly,,Normal,1.9002375296912115,NO,YES
2016-12-19,2017-01-31,Normal,,Normal,1.9002375296912115,NO,YES
2016-12-26,2017-02-07,Normal,,Normal,1.8779342723004693,YES,NO
2017-01-01,2017-02-13,Normal,Normal,Normal,2.065527065527065,YES,NO
2017-01-08,2017-02-20,Normal,Normal,Normal,1.8272425249169435,YES,NO
2017-01-15,2017-02-27,Normal,Normal,Normal,1.744186046511628,YES,NO
2017-01-22,2017-03-06,Normal,Normal,Normal,1.744186046511628,YES,NO
2017-01-29,2017-03-13,Normal,Anomaly,Normal,1.495016611295681,YES,NO
2017-02-05,2017-03-20,Normal,Anomaly,Normal,1.4119601328903657,YES,NO
2017-02-12,2017-03-27,Normal,Anomaly,Normal,1.2027491408934707,YES,NO
2017-02-19,2017-04-03,Normal,Anomaly,Normal,1.2027491408934707,YES,NO
2017-02-26,2017-04-10,Normal,Normal,Normal,1.2027491408934707,YES,NO
2017-03-05,2017-04-17,Normal,Normal,Normal,1.5463917525773196,YES,NO
2017-03-12,2017-04-24,Normal,Normal,Normal,1.718213058419244,YES,NO
2017-03-19,2017-05-01,Normal,Anomaly,Normal,1.718213058419244,YES,NO
2017-03-26,2017-05-08,Normal,Anomaly,Normal,1.718213058419244,YES,NO
2017-04-02,2017-05-15,Normal,Anomaly,Normal,1.557632398753894,YES,NO
2017-04-09,2017-05-22,Normal,Anomaly,Normal,1.557632398753894,NO,YES
2017-04-16,2017-05-29,Normal,Anomaly,Normal,1.4245014245014245,YES,NO
2017-04-23,2017-06-05,Normal,Anomaly,Normal,1.4245014245014245,YES,NO
2017-04-30,2017-06-12,Normal,Anomaly,Normal,1.4957264957264955,YES,NO
2017-05-07,2017-06-19,Normal,Anomaly,Normal,1.8803418803418803,NO,YES
2017-05-14,2017-06-26,Normal,Anomaly,Normal,1.9676549865229112,NO,YES
2017-05-21,2017-07-03,Normal,Anomaly,Normal,1.9676549865229112,NO,NO
2017-05-28,2017-07-10,Normal,Anomaly,Normal,1.8204488778054864,NO,NO
2017-06-04,2017-07-17,Normal,Anomaly,Normal,1.5571458061337982,NO,NO
2017-06-11,2017-07-24,Normal,Anomaly,Normal,1.3878326996197718,NO,NO
2017-06-18,2017-07-31,Normal,Anomaly,Normal,1.1213517665130568,YES,NO
2017-06-25,2017-08-07,Normal,Anomaly,Normal,1.0413694721825963,YES,NO
2017-07-02,2017-08-14,Normal,Anomaly,Normal,1.0413694721825963,YES,NO
2017-07-09,2017-08-21,Normal,Anomaly,Normal,1.0699001426533523,YES,NO
2017-07-16,2017-08-28,Normal,Anomaly,Normal,1.1094674556213018,YES,NO
2017-07-23,2017-09-04,Normal,Anomaly,Normal,1.152073732718894,YES,NO
2017-07-30,2017-09-11,Normal,Anomaly,Normal,1.1980830670926517,YES,NO
2017-08-06,2017-09-18,Normal,Anomaly,Normal,1.207729468599034,YES,NO
2017-08-13,2017-09-25,Normal,Anomaly,Normal,1.2479201331114809,YES,NO
2017-08-20,2017-10-02,Normal,Anomaly,Normal,1.2479201331114809,YES,NO
2017-08-27,2017-10-09,Normal,Anomaly,Normal,1.123128119800333,YES,NO
2017-09-03,2017-10-16,Normal,Anomaly,Normal,1.114808652246256,YES,NO
2017-09-10,2017-10-23,Normal,Anomaly,Normal,1.1284722222222223,YES,NO
2017-09-17,2017-10-30,Normal,Anomaly,Normal,1.0763888888888888,YES,NO
2017-09-24,2017-11-06,Normal,Anomaly,Normal,1.0763888888888888,YES,NO
2017-10-01,2017-11-13,Normal,Anomaly,Normal,1.09375,YES,NO
2017-10-08,2017-11-20,Normal,Anomaly,Normal,1.09375,YES,NO
2017-10-15,2017-11-27,Normal,Anomaly,Normal,1.09375,YES,NO
2017-10-22,2017-12-04,Normal,Normal,Normal,1.09375,YES,NO
2017-10-29,2017-12-11,Normal,Normal,Normal,1.065989847715736,YES,NO
2017-11-05,2017-12-18,Normal,Normal,Normal,1.0843373493975903,YES,NO
2017-11-12,2017-12-25,Normal,Normal,Normal,1.0843373493975903,YES,NO
2017-11-19,2018-01-01,Normal,Normal,Normal,1.0695187165775402,YES,NO
2017-11-26,2018-01-08,Normal,Normal,Normal,1.1976047904191616,YES,NO
2017-12-03,2018-01-15,Normal,Normal,Normal,1.1976047904191616,YES,NO
2017-12-10,2018-01-22,Normal,Normal,Normal,1.996007984031936,YES,NO
2017-12-17,2018-01-29,Normal,Normal,Normal,1.996007984031936,YES,NO
2017-12-24,2018-02-05,Normal,Normal,Normal,1.996007984031936,YES,NO
2017-12-31,2018-02-12,Normal,Normal,Normal,1.996007984031936,NO,NO
2018-01-07,2018-02-19,Normal,Normal,Normal,1.996007984031936,NO,NO
2018-01-14,2018-02-26,Normal,Normal,Normal,1.996007984031936,NO,YES
2018-01-21,2018-03-05,Normal,Normal,Normal,1.5806988352745424,YES,NO
2018-01-28,2018-03-12,Normal,Normal,Normal,1.497504159733777,NO,YES
2018-02-04,2018-03-19,Normal,Normal,Normal,1.497504159733777,YES,NO
2018-02-11,2018-03-26,Normal,Normal,Normal,1.497504159733777,YES,NO
2018-02-18,2018-04-02,Normal,Normal,Normal,1.497504159733777,YES,NO
2018-02-25,2018-04-09,Normal,Normal,Normal,1.497504159733777,NO,NO
2018-03-04,2018-04-16,Normal,Normal,Normal,1.663893510815308,NO,NO
2018-03-11,2018-04-23,Normal,Normal,Normal,1.49812734082397,NO,NO
2018-03-18,2018-04-30,Normal,Normal,Normal,1.49812734082397,NO,NO
2018-03-25,2018-05-07,Normal,Normal,Normal,1.5834348355663823,NO,NO
2018-04-01,2018-05-14,Normal,Normal,Normal,1.527614571092832,NO,NO
2018-04-08,2018-05-21,Normal,Normal,Normal,2.1151586368977675,NO,NO
2018-04-15,2018-05-28,Normal,Normal,Normal,2.1151586368977675,NO,NO
2018-04-22,2018-06-04,Normal,Normal,Normal,1.498751040799334,NO,NO
2018-04-29,2018-06-11,Anomaly,Normal,Normal,1.498751040799334,NO,NO
2018-05-06,2018-06-18,Anomaly,Normal,Normal,1.3835511145272867,NO,NO
2018-05-13,2018-06-25,Normal,Normal,Normal,1.3835511145272867,NO,NO
2018-05-20,2018-07-02,Normal,Normal,Normal,1.1242973141786383,NO,NO
2018-05-27,2018-07-09,Normal,Normal,Normal,1.1242973141786383,NO,NO
2018-06-03,2018-07-16,Normal,Normal,Normal,1.1242973141786383,NO,NO
2018-06-10,2018-07-23,Normal,Anomaly,Normal,0.999375390381012,NO,NO
2018-06-17,2018-07-30,Normal,Anomaly,Normal,1.0019830922706596,NO,NO
2018-06-24,2018-08-06,Normal,Normal,Normal,1.015228426395939,NO,NO
2018-07-01,2018-08-13,Normal,Normal,Normal,1.015228426395939,NO,NO
2018-07-08,2018-08-20,Normal,Normal,Normal,1.015228426395939,NO,NO
2018-07-15,2018-08-27,Normal,Normal,Normal,1.015228426395939,NO,NO
2018-07-22,2018-09-03,Normal,Normal,Normal,1.2298232129131437,NO,NO
2018-07-29,2018-09-10,Normal,Normal,Normal,1.2298232129131437,NO,NO
2018-08-05,2018-09-17,Normal,Normal,Normal,1.2298232129131437,NO,NO
2018-08-12,2018-09-24,Normal,Normal,Normal,1.2298232129131437,NO,NO
2018-08-19,2018-10-01,Normal,Normal,Normal,1.2298232129131437,NO,NO
2018-08-26,2018-10-08,Normal,Normal,Normal,1.2298232129131437,NO,NO
2018-09-02,2018-10-15,Normal,Normal,Normal,1.044663133989402,NO,NO
2018-09-09,2018-10-22,Normal,Normal,Normal,1.021465581051073,NO,NO
2018-09-16,2018-10-29,Normal,Normal,Normal,1.021465581051073,NO,NO
2018-09-23,2018-11-05,Normal,Normal,Normal,1.021465581051073,NO,NO
2018-09-30,2018-11-12,Normal,Normal,Normal,1.014063656550703,NO,NO
2018-10-07,2018-11-19,Normal,Normal,Normal,1.0951239008792966,NO,NO
2018-10-14,2018-11-26,Normal,Normal,Normal,1.2443233424159854,NO,NO
2018-10-21,2018-12-03,Normal,Normal,Normal,1.710362047440699,NO,YES
2018-10-28,2018-12-10,Normal,Normal,Normal,1.7197552223827663,NO,YES
2018-11-04,2018-12-17,Normal,Normal,Normal,1.9258202567760343,NO,YES
2018-11-11,2018-12-24,Anomaly,Normal,Normal,1.9258202567760343,NO,YES
2018-11-18,2018-12-31,Anomaly,Normal,Normal,1.783166904422254,NO,YES
2018-11-25,2019-01-07,Anomaly,Normal,Normal,1.783166904422254,NO,YES
2018-12-02,2019-01-14,Anomaly,Normal,Normal,1.4265335235378032,YES,NO
2018-12-09,2019-01-21,Normal,Normal,Normal,1.4265335235378032,YES,NO
2018-12-16,2019-01-28,Normal,Normal,Normal,1.4265335235378032,YES,NO
2018-12-23,2019-02-04,Normal,Normal,Normal,1.663893510815308,NO,YES
2018-12-30,2019-02-11,Normal,Normal,Normal,1.663893510815308,YES,NO
2019-01-06,2019-02-18,Normal,Normal,Normal,1.663893510815308,YES,NO
2019-01-13,2019-02-25,Normal,Normal,Normal,1.497504159733777,YES,NO
2019-01-20,2019-03-04,Normal,Normal,Normal,1.6632016632016633,YES,NO
2019-01-27,2019-03-11,Normal,Normal,Normal,1.4553014553014554,YES,NO
2019-02-03,2019-03-18,Normal,Normal,Normal,1.2474012474012477,YES,NO
2019-02-10,2019-03-25,Normal,Normal,Normal,1.2474012474012477,YES,NO
2019-02-17,2019-04-01,Normal,Normal,Normal,1.2474012474012477,YES,NO
2019-02-24,2019-04-08,Normal,Normal,Normal,1.2474012474012477,YES,NO
2019-03-03,2019-04-15,Normal,Normal,Normal,1.0707803992740472,NO,YES
2019-03-10,2019-04-22,Normal,Normal,Normal,1.088929219600726,NO,YES
2019-03-17,2019-04-29,Normal,Normal,Normal,1.088929219600726,YES,NO
2019-03-24,2019-05-06,Normal,Normal,Anomaly,1.2477718360071302,NO,YES
2019-03-31,2019-05-13,Normal,Normal,Anomaly,1.2834224598930482,YES,NO
2019-04-07,2019-05-20,Normal,Normal,Anomaly,1.2834224598930482,NO,NO
2019-04-14,2019-05-27,Normal,Normal,Normal,1.2609457092819614,NO,NO
2019-04-21,2019-06-03,Normal,Normal,Normal,1.1980033277870217,YES,NO
2019-04-28,2019-06-10,Normal,Normal,Normal,1.1980033277870217,YES,NO
2019-05-05,2019-06-17,Anomaly,Normal,Normal,1.0556348074179742,YES,NO
2019-05-12,2019-06-24,Normal,Normal,Normal,1.4265335235378032,YES,NO
2019-05-19,2019-07-01,Normal,Normal,Normal,1.4265335235378032,YES,NO
2019-05-26,2019-07-08,Normal,Normal,Normal,1.5691868758915837,YES,NO
2019-06-02,2019-07-15,Normal,Normal,Normal,1.5691868758915837,YES,NO
2019-06-09,2019-07-22,Normal,Normal,Normal,1.5256588072122053,NO,NO
2019-06-16,2019-07-29,Normal,Normal,Normal,1.484480431848853,NO,NO
2019-06-23,2019-08-05,Normal,Normal,Normal,1.1566771819137749,NO,NO
2019-06-30,2019-08-12,Normal,Normal,Normal,1.098901098901099,NO,NO
2019-07-07,2019-08-19,Normal,Normal,Normal,1.098901098901099,NO,NO
2019-07-14,2019-08-26,Normal,Normal,Normal,1.098901098901099,NO,NO
2019-07-21,2019-09-02,Normal,Normal,Normal,0.999000999000999,NO,NO
2019-07-28,2019-09-09,Normal,Normal,Normal,0.999000999000999,NO,NO
2019-08-04,2019-09-16,Normal,Normal,Normal,1.098901098901099,NO,NO
2019-08-11,2019-09-23,Normal,Normal,Normal,1.098901098901099,NO,NO
2019-08-18,2019-09-30,Normal,Normal,Normal,1.098901098901099,NO,NO
2019-08-25,2019-10-07,Normal,Normal,Normal,1.1988011988011988,NO,NO
2019-09-01,2019-10-14,Normal,Normal,Normal,1.4985014985014986,NO,NO
2019-09-08,2019-10-21,Normal,Normal,Normal,1.4985014985014986,NO,NO
2019-09-15,2019-10-28,Normal,Normal,Normal,1.4985014985014986,NO,NO
2019-09-22,2019-11-04,Normal,Normal,Normal,1.4985014985014986,NO,NO
2019-09-29,2019-11-11,Normal,Normal,Normal,1.4272121788772598,NO,NO
2019-10-06,2019-11-18,Normal,Normal,Normal,1.3738551207327228,NO,NO
2019-10-13,2019-11-25,Normal,Normal,Normal,1.177730192719486,NO,NO
2019-10-20,2019-12-02,Normal,Normal,Normal,1.177730192719486,NO,NO
2019-10-27,2019-12-09,Normal,Normal,Normal,1.1325782811459026,NO,NO
2019-11-03,2019-12-16,Normal,Normal,Normal,1.1702062562206896,NO,NO
2019-11-10,2019-12-23,Normal,Normal,Normal,1.3124583610926048,NO,NO
2019-11-17,2019-12-30,Normal,Normal,Normal,1.3191205862758162,NO,NO
2019-11-24,2020-01-06,Normal,Normal,Normal,1.3657561625582946,NO,NO
2019-12-01,2020-01-13,Anomaly,Anomaly,Normal,1.3657561625582946,NO,NO
2019-12-08,2020-01-20,Anomaly,Anomaly,Normal,1.2804497189256714,NO,NO
2019-12-15,2020-01-27,Normal,Anomaly,Normal,1.3657561625582946,NO,NO
2019-12-22,2020-02-03,Normal,Anomaly,Normal,1.3657561625582946,NO,NO
2019-12-29,2020-02-10,Normal,Anomaly,Normal,1.4632405424696646,NO,NO
2020-01-05,2020-02-17,Normal,Normal,Normal,1.4632405424696646,NO,NO
2020-01-12,2020-02-24,Anomaly,Anomaly,Normal,1.284796573875803,NO,NO
2020-01-19,2020-03-02,Anomaly,Anomaly,Normal,1.142041399000714,NO,NO
2020-01-26,2020-03-09,Normal,Anomaly,Normal,1.0706638115631693,NO,NO
2020-02-02,2020-03-16,Normal,Anomaly,Normal,1.0706638115631693,NO,NO
2020-02-09,2020-03-23,Normal,Anomaly,Normal,1.04344476465672,NO,NO
2020-02-16,2020-03-30,Normal,Anomaly,Normal,1.1843079200592157,NO,NO
2020-02-23,2020-04-06,Normal,Anomaly,Normal,1.2789768185451638,NO,NO
2020-03-01,2020-04-13,Normal,Anomaly,Normal,1.2789768185451638,NO,NO
2020-03-08,2020-04-20,Normal,Anomaly,Normal,1.2789768185451638,NO,NO
2020-03-15,2020-04-27,Normal,Normal,Normal,1.3189448441247005,NO,NO
2020-03-22,2020-05-04,Normal,Normal,Normal,1.3189448441247005,NO,NO
2020-03-29,2020-05-11,Normal,Anomaly,Normal,1.3189448441247005,NO,NO
2020-04-05,2020-05-18,Normal,Anomaly,Normal,1.3589128697042363,NO,NO
