STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.3741411045537937,PUNJAB,MALERKOTLA
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.2215435868961688,PUNJAB,SANGRUR
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.1666666666666667,HIMACHAL PRADESH,KULLU
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.094716801523084,PUNJAB,AJNALA
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0472201066260471,WEST BENGAL,ISLAMPUR
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0308880308880308,UTTAR PRADESH,BARABANKI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0288949629051152,UTTAR PRADESH,BASTI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0284505959246444,UTTAR PRADESH,LUCKNOW
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0275479440987052,WEST BENGAL,DURGAPUR
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.020408163265306,UTTAR PRADESH,JALAUN
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.019208153665229,UTTAR PRADESH,LAKHIMPUR
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0181414291003332,WEST BENGAL,BISHNUPUR(BANKURA)
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.013536966331135,WEST BENGAL,ULUBERIA
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0115160869129092,WEST BENGAL,KATWA
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0074177637917978,WEST BENGAL,KALYANI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0067352002835874,WEST BENGAL,SHEORAPHULY
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0058745499336743,NCT OF DELHI,AZADPUR
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0,GUJARAT,BHARUCH
2020-09-20,2020-11-02,Normal,Anomaly,Normal,0.9996155324875048,UTTAR PRADESH,FAIZABAD
2020-09-20,2020-11-02,Normal,Normal,Normal,1.1624999999878474,GUJARAT,AHMEDABAD(CHIMANBHAI PATAL MARKET VASANA)
2020-09-20,2020-11-02,Normal,Normal,Normal,1.153254741173158,PUNJAB,BARNALA
2020-09-20,2020-11-02,Normal,Normal,Normal,1.110494169905608,PUNJAB,ZIRA
2020-09-20,2020-11-02,Normal,Normal,Normal,1.04,UTTAR PRADESH,FIROZABAD
2020-09-20,2020-11-02,Normal,Normal,Normal,1.015384615384615,MADHYA PRADESH,SANWER
2020-09-20,2020-11-02,Normal,Normal,Normal,1.0,GUJARAT,VADHVAN
