STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO
2016-01-01,2016-02-13,,,Normal,1.6207792237714287
2016-01-08,2016-02-20,,,Normal,1.6207792237714287
2016-01-15,2016-02-27,,,Normal,1.529051987767584
2016-01-22,2016-03-05,,,Normal,1.609322974472808
2016-01-29,2016-03-12,,,Normal,1.4102049052391386
2016-02-01,2016-03-15,Normal,,Normal,1.9467554076539104
2016-02-08,2016-03-22,Normal,,Normal,1.9467554076539104
2016-02-15,2016-03-29,Normal,,Normal,1.8302828618968383
2016-02-22,2016-04-05,Normal,,Normal,1.7470881863560732
2016-02-29,2016-04-12,Normal,,Normal,1.5678630853135929
2016-03-07,2016-04-19,Normal,,Normal,1.480865224625624
2016-03-14,2016-04-26,Normal,,Normal,1.3643926788685523
2016-03-21,2016-05-03,Normal,,Normal,1.4492753623188406
2016-03-28,2016-05-10,Normal,,Normal,1.7713365539452497
2016-04-04,2016-05-17,Normal,,Anomaly,1.71606864274571
2016-04-11,2016-05-24,Normal,,Normal,1.71606864274571
2016-04-18,2016-05-31,Normal,,Normal,1.6405135520684735
2016-04-25,2016-06-07,Normal,,Normal,1.5730337078651686
2016-05-02,2016-06-14,Normal,,Anomaly,1.6204217536071033
2016-05-09,2016-06-21,Normal,,Anomaly,2.872127872127872
2016-05-16,2016-06-28,Normal,,Normal,2.987012987012987
2016-05-23,2016-07-05,Normal,,Normal,2.917784825610589
2016-05-30,2016-07-12,Normal,,Normal,3.1522793404461686
2016-06-06,2016-07-19,Normal,,Normal,2.6591458501208702
2016-06-13,2016-07-26,Normal,,Normal,2.2587268993839835
2016-06-20,2016-08-02,Normal,,Normal,1.3194722111155537
2016-06-27,2016-08-09,Normal,,Normal,1.4660151043980454
2016-07-04,2016-08-16,Normal,,Normal,2.8670721112076456
2016-07-11,2016-08-23,Normal,,Normal,2.997275204359673
2016-07-18,2016-08-30,Normal,,Normal,2.9518619436875566
2016-07-25,2016-09-06,Normal,,Normal,2.977022977022977
2016-08-01,2016-09-13,Normal,,Normal,2.694519556668928
2016-08-08,2016-09-20,Normal,,Normal,2.43565052917042
2016-08-15,2016-09-27,Normal,,Normal,1.6483516483516485
2016-08-22,2016-10-04,Normal,,Normal,1.6483516483516485
2016-08-29,2016-10-11,Normal,,Normal,1.6483516483516485
2016-09-05,2016-10-18,Normal,,Normal,1.6483516483516485
2016-09-12,2016-10-25,Normal,,Normal,1.299000768639508
2016-09-19,2016-11-01,Normal,,Normal,1.299000768639508
2016-09-26,2016-11-08,Normal,,Normal,1.299000768639508
2016-10-03,2016-11-15,Normal,,Normal,1.4071606994171524
2016-10-10,2016-11-22,Normal,,Normal,1.6234390009606148
2016-10-17,2016-11-29,Normal,,Normal,1.7227319062181448
2016-10-24,2016-12-06,Normal,,Normal,1.7770767613038907
2016-10-31,2016-12-13,Normal,,Normal,1.5247108307045216
2016-11-07,2016-12-20,Normal,,Normal,1.4195583596214512
