STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear,STATENAME,MANDINAME
2017-01-01,2017-02-13,296.94741705463065,90.02317836246927,206.92423869216137,Anomaly,KARNATAKA,MYSORE (BANDIPALYA)
2017-01-01,2017-02-13,19.28792276933456,10.615351696236678,19.310220538802287,Normal,KARNATAKA,MULABAGILU
2017-01-01,2017-02-13,83.2634153843676,20.063289091173964,86.3551135975231,Normal,UTTAR PRADESH,LUCKNOW
2017-01-01,2017-02-13,84.29518906113323,26.08306785014837,109.92371145673614,Normal,UTTAR PRADESH,KANPUR(GRAIN)
2017-01-01,2017-02-13,13.190137458393348,9.394682913948902,22.584820372342246,Normal,KARNATAKA,SRINIVASAPUR
2017-01-01,2017-02-13,18.815355713018118,5.128700021993749,22.502153471127652,Normal,KARNATAKA,CHICKKABALLAPURA
2017-01-01,2017-02-13,1.772664138658429,0.39846681131009876,1.5754419164425506,Normal,UTTAR PRADESH,PUKHRAYAN
2017-01-01,2017-02-13,38.719652497766326,20.296670081134863,29.399031985296098,Normal,UTTAR PRADESH,GONDA
2017-01-01,2017-02-13,4.830898781111644,0.8866086788940493,5.7175074600056925,Normal,UTTAR PRADESH,KANNAUJ
2017-01-01,2017-02-13,545.6668264452703,86.06837193403534,589.0991082349454,Normal,NCT OF DELHI,AZADPUR
2017-01-01,2017-02-13,78.89366351453724,47.09459215519705,125.98825566973429,Normal,KARNATAKA,CHINTAMANI
2017-01-01,2017-02-13,44.78967802849558,43.049968434525255,87.83964646302083,Normal,UTTAR PRADESH,AURAIYA
2017-01-01,2017-02-13,14.231531170276538,4.521847226359928,18.753378396636467,Normal,UTTAR PRADESH,BARABANKI
2017-01-01,2017-02-13,177.91461046848352,26.20427849578076,166.14212225519574,Normal,MAHARASHTRA,PUNE
2017-01-01,2017-02-13,35.97045454545454,15.497727272727273,43.74318181818182,Normal,UTTAR PRADESH,FAIZABAD
2017-01-08,2017-02-20,295.04363760307797,102.13806775827842,192.9055698447996,Normal,KARNATAKA,MYSORE (BANDIPALYA)
2017-01-08,2017-02-20,19.117468223880017,8.990351696236678,14.946584175165924,Normal,KARNATAKA,MULABAGILU
2017-01-08,2017-02-20,82.1043244752767,18.722380000264874,84.05965905206855,Normal,UTTAR PRADESH,LUCKNOW
2017-01-08,2017-02-20,83.79134919225486,22.20869672414092,103.89889607708469,Normal,UTTAR PRADESH,KANPUR(GRAIN)
2017-01-08,2017-02-20,10.787457874793391,7.048821512167129,17.83627938696052,Normal,KARNATAKA,SRINIVASAPUR
