STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO
2016-01-01,2016-02-13,,,Anomaly,1.125
2017-04-09,2017-05-22,Anomaly,Normal,Anomaly,1.125
2017-04-30,2017-06-12,Anomaly,Normal,Anomaly,1.125
2017-06-04,2017-07-17,Anomaly,Normal,Anomaly,1.1111111111111112
2017-08-20,2017-10-02,Normal,Normal,Normal,1.0
2017-11-19,2018-01-01,Normal,Normal,Normal,1.0
2018-03-11,2018-04-23,Normal,Normal,Normal,1.0
2018-06-24,2018-08-06,Normal,Normal,Normal,1.0
2018-09-09,2018-10-22,Anomaly,Normal,Anomaly,1.0
2018-11-18,2018-12-31,Anomaly,Normal,Anomaly,1.0
2019-02-03,2019-03-18,Normal,Normal,Normal,1.0
2019-04-14,2019-05-27,Normal,Normal,Normal,1.0
2019-07-07,2019-08-19,Anomaly,Normal,Anomaly,1.05
2019-12-08,2020-01-20,Anomaly,Normal,Anomaly,1.0476190476190477
2020-03-08,2020-04-20,Normal,Normal,Normal,1.0454545454545454
2020-04-26,2020-06-08,Anomaly,Normal,Anomaly,1.119047619047619
2020-07-19,2020-08-31,Normal,Normal,Normal,1.0612244897959184
