STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO
2006-01-01,2006-02-13,,,Normal,1.0
2006-01-08,2006-02-20,,,Normal,1.0
2006-01-15,2006-02-27,,,Normal,1.0
2006-01-22,2006-03-06,,,Normal,1.0
2006-01-29,2006-03-13,,,Normal,1.0
2006-02-01,2006-03-16,Normal,,Normal,1.0
2006-02-08,2006-03-23,Normal,,Normal,1.0
2006-02-15,2006-03-30,Normal,,Normal,1.0
2006-02-22,2006-04-06,Normal,,Normal,1.0
2006-03-01,2006-04-13,Normal,,Normal,1.0
2006-03-08,2006-04-20,Normal,,Normal,1.0
2006-03-15,2006-04-27,Normal,,Normal,1.0
2006-03-22,2006-05-04,Normal,,Normal,1.0
2006-03-29,2006-05-11,Normal,,Normal,1.0
2006-04-05,2006-05-18,Normal,,Normal,1.0
2006-04-12,2006-05-25,Normal,,Normal,1.0
2006-04-19,2006-06-01,Normal,,Normal,1.0
2006-04-26,2006-06-08,Normal,,Normal,1.0
2006-05-03,2006-06-15,Normal,,Normal,1.0
2006-05-10,2006-06-22,Normal,,Normal,1.0
2006-05-17,2006-06-29,Normal,,Normal,1.0
2006-05-24,2006-07-06,Normal,,Normal,1.0
2006-05-31,2006-07-13,Normal,,Normal,1.0
2006-06-07,2006-07-20,Normal,,Normal,1.0
2006-06-14,2006-07-27,Normal,,Normal,1.0
2006-06-21,2006-08-03,Normal,,Normal,1.0
2006-06-28,2006-08-10,Normal,,Normal,1.0
2006-07-05,2006-08-17,Normal,,Normal,1.0
2006-07-12,2006-08-24,Normal,,Normal,1.0
2006-07-19,2006-08-31,Normal,,Normal,1.0
2006-07-26,2006-09-07,Normal,,Normal,1.0
2006-08-02,2006-09-14,Normal,,Normal,1.0
2006-08-09,2006-09-21,Normal,,Normal,1.0
2006-08-16,2006-09-28,Normal,,Normal,1.0
2006-08-23,2006-10-05,Normal,,Normal,1.0
2006-08-30,2006-10-12,Normal,,Normal,1.0
2006-09-06,2006-10-19,Normal,,Normal,1.0
2006-09-13,2006-10-26,Normal,,Normal,1.0
2006-09-20,2006-11-02,Normal,,Normal,1.0
2006-09-27,2006-11-09,Normal,,Normal,1.0
2006-10-04,2006-11-16,Normal,,Normal,1.0
2006-10-11,2006-11-23,Normal,,Normal,1.0
2006-10-18,2006-11-30,Normal,,Normal,1.0
2006-10-25,2006-12-07,Normal,,Normal,1.0
2006-11-01,2006-12-14,Normal,,Normal,1.0
2006-11-08,2006-12-21,Normal,,Normal,1.0
2006-11-15,2006-12-28,Normal,,Normal,1.0
2006-11-22,2007-01-04,Normal,,Anomaly,1.0
2006-11-29,2007-01-11,Normal,,Anomaly,1.0
2006-12-06,2007-01-18,Normal,,Anomaly,1.0
2006-12-13,2007-01-25,Normal,,Anomaly,1.0
2006-12-20,2007-02-01,Anomaly,,Anomaly,1.0
2006-12-27,2007-02-08,Anomaly,,Anomaly,1.0
2007-01-01,2007-02-13,Anomaly,Normal,Anomaly,1.0
2007-01-08,2007-02-20,Anomaly,Normal,Anomaly,1.0
2007-01-15,2007-02-27,Anomaly,Normal,Anomaly,1.0
2007-01-22,2007-03-06,Anomaly,Normal,Anomaly,1.0
2007-01-29,2007-03-13,Anomaly,Normal,Anomaly,1.0
2007-02-05,2007-03-20,Anomaly,Normal,Anomaly,1.0
2007-02-12,2007-03-27,Anomaly,Normal,Anomaly,1.0
2007-02-19,2007-04-03,Anomaly,Normal,Anomaly,1.0
