STARTDATE,ENDDATE,MEDIAN,MAD,VALUE,TYPE
2006-01-01,2006-02-13,255.5,262.5,26.0,Normal
2006-01-08,2006-02-20,255.5,262.5,26.0,Normal
2006-01-15,2006-02-27,255.5,262.5,26.0,Normal
2006-01-22,2006-03-06,255.5,262.5,26.0,Normal
2006-01-29,2006-03-13,255.5,262.5,26.0,Normal
2006-02-01,2006-03-16,255.5,262.5,26.0,Normal
2006-02-08,2006-03-23,255.5,262.5,26.0,Normal
2006-02-15,2006-03-30,255.5,262.5,26.0,Normal
2006-02-22,2006-04-06,255.5,262.5,26.0,Normal
2006-03-01,2006-04-13,255.5,262.5,26.0,Normal
2006-03-08,2006-04-20,255.5,262.5,26.0,Normal
2006-03-15,2006-04-27,255.5,262.5,26.0,Normal
2006-03-22,2006-05-04,255.5,262.5,26.0,Normal
2006-03-29,2006-05-11,255.5,262.5,26.0,Normal
2006-04-05,2006-05-18,255.5,262.5,26.0,Normal
2006-04-12,2006-05-25,255.5,262.5,26.0,Normal
2006-04-19,2006-06-01,255.5,262.5,26.0,Normal
2006-04-26,2006-06-08,255.5,262.5,26.0,Normal
2006-05-03,2006-06-15,255.5,262.5,26.0,Normal
2006-05-10,2006-06-22,255.5,262.5,26.0,Normal
2006-05-17,2006-06-29,255.5,262.5,26.0,Normal
2006-05-24,2006-07-06,250.5,260.0,26.0,Normal
2006-05-31,2006-07-13,250.5,260.0,26.0,Normal
2006-06-07,2006-07-20,250.5,260.0,26.0,Normal
2006-06-14,2006-07-27,250.5,260.0,26.0,Normal
2006-06-21,2006-08-03,293.0,281.25,26.0,Normal
2006-06-28,2006-08-10,295.5,282.5,26.0,Normal
2006-07-05,2006-08-17,300.5,285.0,26.0,Normal
2006-07-12,2006-08-24,303.0,286.25,26.0,Normal
2006-07-19,2006-08-31,305.5,287.5,26.0,Normal
2006-07-26,2006-09-07,305.5,287.5,26.0,Normal
2006-08-02,2006-09-14,305.5,287.5,26.0,Normal
2006-08-09,2006-09-21,305.5,287.5,26.0,Normal
2006-08-16,2006-09-28,305.5,287.5,26.0,Normal
2006-08-23,2006-10-05,310.5,290.0,26.0,Normal
2006-08-30,2006-10-12,315.5,298.75,26.0,Normal
2006-09-06,2006-10-19,315.5,316.25,26.0,Normal
2006-09-13,2006-10-26,315.5,318.75,26.0,Normal
2006-09-20,2006-11-02,315.5,320.0,26.0,Normal
2006-09-27,2006-11-09,315.5,322.5,26.0,Normal
2006-10-04,2006-11-16,315.5,328.75,26.0,Normal
2006-10-11,2006-11-23,315.5,366.25,26.0,Normal
2006-10-18,2006-11-30,315.5,366.25,26.0,Normal
2006-10-25,2006-12-07,315.5,366.25,26.0,Normal
2006-11-01,2006-12-14,315.5,366.25,26.0,Normal
2006-11-08,2006-12-21,315.5,316.25,26.0,Normal
2006-11-15,2006-12-28,250.5,260.0,26.0,Normal
2006-11-22,2007-01-04,163.0,216.25,26.0,Normal
2006-11-29,2007-01-11,138.0,203.75,26.0,Normal
2006-12-06,2007-01-18,120.5,195.0,26.0,Normal
2006-12-13,2007-01-25,120.5,195.0,26.0,Normal
2006-12-20,2007-02-01,120.5,195.0,26.0,Normal
2006-12-27,2007-02-08,120.5,195.0,26.0,Normal
2007-01-01,2007-02-13,125.5,197.5,26.0,Normal
2007-01-08,2007-02-20,133.0,201.25,26.0,Normal
2007-01-15,2007-02-27,163.0,216.25,26.0,Normal
2007-01-22,2007-03-06,170.5,220.0,26.0,Normal
2007-01-29,2007-03-13,183.0,226.25,26.0,Normal
2007-02-05,2007-03-20,188.0,228.75,26.0,Normal
2007-02-12,2007-03-27,195.5,232.5,26.0,Normal
2007-02-19,2007-04-03,205.5,237.5,26.0,Normal
2007-02-26,2007-04-10,228.0,248.75,26.0,Normal
2007-03-05,2007-04-17,238.0,253.75,26.0,Normal
2007-03-12,2007-04-24,238.0,253.75,26.0,Normal
2007-03-19,2007-05-01,245.5,257.5,26.0,Normal
2007-03-26,2007-05-08,259.5277790123479,264.51388950617394,26.0,Normal
2007-04-02,2007-05-15,263.0,266.25,26.0,Normal
2007-04-09,2007-05-22,263.0,266.25,26.0,Normal
2007-04-16,2007-05-29,275.5,272.5,26.0,Normal
2007-04-23,2007-06-05,288.0,278.75,26.0,Normal
2007-04-30,2007-06-12,300.5,285.0,26.0,Normal
2007-05-07,2007-06-19,305.5,287.5,26.0,Normal
2007-05-14,2007-06-26,313.0,291.25,26.0,Normal
2007-05-21,2007-07-03,315.5,293.75,26.0,Normal
2007-05-28,2007-07-10,315.5,300.625,26.0,Normal
2007-06-04,2007-07-17,315.5,310.4036456502273,26.0,Normal
2007-06-11,2007-07-24,314.9539452402964,311.5230273798518,24.939746105587844,Normal
2007-06-18,2007-07-31,314.75613151012453,317.07193376493694,24.586318821747323,Normal
2007-06-25,2007-08-07,314.4239814128387,320.882211861317,23.957549950857207,Normal
2007-07-02,2007-08-14,313.98065126641376,322.00967436679315,23.099844233578487,Normal
2007-07-09,2007-08-21,313.4489782010043,322.2755108994979,22.05896645031148,Normal
2007-07-16,2007-08-28,312.8514856396838,322.83573645962394,20.88005241527671,Normal
2007-07-23,2007-09-04,312.21038866663895,324.14480566668055,19.607619744727,Normal
2007-07-30,2007-09-11,311.5475992855065,324.47620035724674,18.285578404685847,Normal
2007-08-06,2007-09-18,310.8847315704672,331.05763421476644,16.957241043460765,Normal
2007-08-13,2007-09-25,310.2431067126382,331.3784466436809,15.665333114037715,Normal
2007-08-20,2007-10-02,309.6437579642411,331.67812101787945,14.45200279132489,Normal
2007-08-27,2007-10-09,309.5,331.946282258525,13.358830689080278,Normal
2007-09-03,2007-10-16,309.5,332.17269446061687,12.426839381227653,Normal
2007-09-10,2007-10-23,309.5,333.5972585671511,11.69650273213979,Normal
2007-09-17,2007-10-30,309.5,334.96001008976765,11.20775504034569,Normal
2007-09-24,2007-11-06,309.5,337.4972508985744,11.01533561675351,Normal
2007-10-01,2007-11-13,309.5,338.2525511453565,11.0,Normal
2007-10-08,2007-11-20,309.5,338.75,11.0,Normal
2007-10-15,2007-11-27,309.5,338.75,11.0,Normal
2007-10-22,2007-12-04,309.0,338.85716959479436,11.427538338796813,Normal
2007-10-29,2007-12-11,308.42191382631484,333.00904236684687,11.843827652629642,Normal
2007-11-05,2007-12-18,308.42191382631484,333.2890430868426,11.843827652629642,Normal
2007-11-12,2007-12-25,308.42191382631484,333.2890430868426,11.843827652629642,Normal
2007-11-19,2008-01-01,307.0,305.9305561728393,9.5,Normal
2007-11-26,2008-01-08,254.5,272.25,9.0,Normal
2007-12-03,2008-01-15,179.5,234.75,9.0,Normal
2007-12-10,2008-01-22,167.0,228.75,9.0,Normal
2007-12-17,2008-01-29,154.0,222.75,8.0,Normal
2007-12-24,2008-02-05,154.0,222.75,8.0,Normal
2007-12-31,2008-02-12,153.5,223.0,7.0,Normal
2008-01-07,2008-02-19,153.0,223.25,6.0,Normal
2008-01-14,2008-02-26,153.0,223.25,6.0,Normal
2008-01-21,2008-03-04,153.0,219.5,6.0,Normal
2008-01-28,2008-03-11,165.5,222.03521880771896,6.0,Normal
2008-02-04,2008-03-18,173.0,222.46180557492406,5.0,Normal
2008-02-11,2008-03-25,190.5,231.0,5.0,Normal
2008-02-18,2008-04-01,203.0,234.75,5.0,Normal
2008-02-25,2008-04-08,203.0,234.75,5.0,Normal
2008-03-03,2008-04-15,203.0,234.75,5.0,Normal
2008-03-10,2008-04-22,153.0,212.25,5.0,Normal
2008-03-17,2008-04-29,127.5,202.5,5.0,Normal
2008-03-24,2008-05-06,127.5,202.84843250455307,5.0,Normal
2008-03-31,2008-05-13,127.5,203.73160927599568,5.0,Normal
2008-04-07,2008-05-20,153.0,217.21618942282294,5.5,Normal
2008-04-14,2008-05-27,190.5,235.96618942282294,6.0,Normal
2008-04-21,2008-06-03,193.0,237.21618942282294,6.0,Normal
2008-04-28,2008-06-10,193.0,237.67411722825736,6.0,Normal
2008-05-05,2008-06-17,193.0,239.32588277174264,6.0,Normal
2008-05-12,2008-06-24,193.0,239.07722028695832,5.997481073006406,Normal
2008-05-19,2008-07-01,193.09415559116076,239.04170207130167,5.957630449296862,Normal
2008-05-26,2008-07-08,193.5,238.86000695224868,5.877603155268256,Normal
2008-06-02,2008-07-15,196.0,238.06241206657043,5.7678558336367525,Normal
2008-06-09,2008-07-22,196.0,238.09520550267962,5.638638576442967,Normal
2008-06-16,2008-07-29,198.5,239.37999942893327,5.5,Normal
2008-06-23,2008-08-05,204.0,236.6643377498842,5.361792170943447,Normal
2008-06-30,2008-08-12,204.0,234.19581214401853,5.233675388455358,Normal
2008-07-07,2008-08-19,204.00187504380534,234.22112338590037,5.125122827537541,Normal
2008-07-14,2008-08-26,204.0129329100475,231.3051423640639,5.099005866203657,Normal
2008-07-21,2008-09-02,204.03276772834027,229.22802455706264,5.029233689310751,Normal
2008-07-28,2008-09-09,204.0600722930591,229.21996385347046,5.0,Normal
2008-08-04,2008-09-16,202.64601941159026,228.4794703072157,5.0,Normal
2008-08-11,2008-09-23,200.9888397989115,227.6125580601791,5.0,Normal
2008-08-18,2008-09-30,194.17373240952625,221.6631337952369,5.0,Normal
2008-08-25,2008-10-07,194.21784390370368,224.1410780481482,5.0,Normal
2008-09-01,2008-10-14,194.26288911618434,224.13938808078515,4.916669444490742,Normal
2008-09-08,2008-10-21,194.3075608413437,226.59621957932814,5.0,Normal
2008-09-15,2008-10-28,194.35055187355724,229.1873994805962,5.0,Normal
2008-09-22,2008-11-04,194.3905550072003,229.60168451187977,5.0,Normal
2008-09-29,2008-11-11,196.92626303664844,231.96404678839036,5.0,Normal
2008-10-06,2008-11-18,196.95636875627702,235.93041308509007,5.0,Normal
2008-10-13,2008-11-25,196.96013602005067,260.1567036062164,5.281639905558254,Normal
2008-10-20,2008-12-02,194.46013602005067,259.4090697708947,6.890894955381152,Normal
2008-10-27,2008-12-09,187.0,266.2332792867312,9.0,Normal
2008-11-03,2008-12-16,179.5,265.8205134779413,9.0,Normal
2008-11-10,2008-12-23,179.5,268.75,9.0,Normal
2008-11-17,2008-12-30,154.5,259.0,9.0,Normal
2008-11-24,2009-01-06,153.5,257.0,7.0,Normal
2008-12-01,2009-01-13,103.5,243.5,7.0,Normal
2008-12-08,2009-01-20,103.0,236.125,6.5,Normal
2008-12-15,2009-01-27,101.79999980468756,236.4250000488281,6.0,Normal
2008-12-22,2009-02-03,101.43229148732884,236.57942712816777,6.0,Normal
2008-12-29,2009-02-10,101.43229148732884,236.57942712816777,6.0,Normal
2009-01-05,2009-02-17,101.43229148732884,236.51692712816777,6.0,Normal
2009-01-12,2009-02-24,143.0,242.25,6.0,Normal
2009-01-19,2009-03-03,153.0,247.25,6.0,Normal
2009-01-26,2009-03-10,153.5,247.0,7.0,Normal
2009-02-02,2009-03-17,158.5,249.25,7.0,Normal
2009-02-09,2009-03-24,191.0,265.5,7.0,Normal
2009-02-16,2009-03-31,196.5,267.75,7.888891632305375,Normal
2009-02-23,2009-04-07,204.5,271.25,8.818181798347107,Normal
2009-03-02,2009-04-14,254.83333332083333,295.5833333395833,9.5,Normal
2009-03-09,2009-04-21,330.0,333.0,10.0,Normal
2009-03-16,2009-04-28,347.596653423538,341.451673288231,10.131253527620226,Normal
2009-03-23,2009-05-05,355.3684212583941,348.5657893708029,10.661143893142206,Normal
2009-03-30,2009-05-12,355.5,351.0,11.0,Normal
2009-04-06,2009-05-19,356.0,350.4791659722338,11.0,Normal
2009-04-13,2009-05-26,356.0,381.5,12.0,Normal
2009-04-20,2009-06-02,356.0,387.8549380582226,12.0,Normal
2009-04-27,2009-06-09,356.0,390.1450619417774,12.0,Normal
