STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2020-09-13,2020-10-26,Normal,Normal,Normal,,ANDHRA PRADESH,HYDERABAD
2020-09-13,2020-10-26,Normal,Normal,Normal,,ANDHRA PRADESH,KARIMNAGAR
2020-09-13,2020-10-26,Normal,Normal,Normal,,ANDHRA PRADESH,TIRUPATHI
2020-09-13,2020-10-26,Normal,Normal,Normal,,ANDHRA PRADESH,VIJAYWADA
2020-09-13,2020-10-26,Normal,Normal,Normal,,ANDHRA PRADESH,VISAKHAPATNAM
2020-09-13,2020-10-26,Normal,Normal,Normal,,ODISHA,BALASORE
2020-09-13,2020-10-26,Normal,Normal,Normal,,ODISHA,BERHAMPUR
2020-09-13,2020-10-26,Normal,Normal,Normal,,ODISHA,BHUBANESHWAR
2020-09-13,2020-10-26,Normal,Normal,Normal,,ODISHA,CUTTACK
2020-09-13,2020-10-26,Normal,Normal,Normal,,ODISHA,SAMBALPUR
