STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2016-01-01,2016-02-13,,,Anomaly,1.17058895256676,ODISHA,SAMBALPUR
2016-01-01,2016-02-13,,,Anomaly,1.1462016827216193,ODISHA,BHUBANESHWAR
2016-01-01,2016-02-13,,,Anomaly,1.166517113190617,ODISHA,CUTTACK
2016-02-15,2016-03-29,Anomaly,,Anomaly,1.048652603341056,ODISHA,BHUBANESHWAR
2016-02-15,2016-03-29,Anomaly,,Anomaly,1.0767850275605693,ODISHA,CUTTACK
2016-02-15,2016-03-29,Anomaly,,Anomaly,1.0119262739428985,ODISHA,SAMBALPUR
2016-04-04,2016-05-17,Anomaly,,Anomaly,1.037370328708911,ODISHA,CUTTACK
2016-04-04,2016-05-17,Anomaly,,Anomaly,1.0608462382636263,ODISHA,SAMBALPUR
2016-04-04,2016-05-17,Anomaly,,Anomaly,1.048652603341056,ODISHA,BHUBANESHWAR
2016-05-23,2016-07-05,Anomaly,,Anomaly,1.052493093014077,ODISHA,BHUBANESHWAR
2016-05-23,2016-07-05,Anomaly,,Anomaly,1.0388261264770808,ODISHA,SAMBALPUR
2016-05-23,2016-07-05,Anomaly,,Anomaly,1.1389730896877726,ODISHA,CUTTACK
2016-06-06,2016-07-19,Anomaly,,Normal,1.2789210556911987,ANDHRA PRADESH,VISAKHAPATNAM
2016-07-11,2016-08-23,Anomaly,,Anomaly,1.1012896681640345,ODISHA,SAMBALPUR
2016-07-11,2016-08-23,Anomaly,,Anomaly,1.1447616287494566,ODISHA,BHUBANESHWAR
2016-07-18,2016-08-30,Anomaly,,Normal,1.333121726710046,ODISHA,CUTTACK
2016-08-22,2016-10-04,Normal,,Anomaly,1.0185963928604804,ANDHRA PRADESH,VIJAYWADA
2016-08-22,2016-10-04,Normal,,Anomaly,0.9999090991728024,ANDHRA PRADESH,HYDERABAD
2016-08-29,2016-10-11,Anomaly,,Normal,1.045992924165513,ODISHA,SAMBALPUR
2016-09-05,2016-10-18,Normal,,Anomaly,1.029310851877267,ANDHRA PRADESH,KARIMNAGAR
2016-10-10,2016-11-22,Anomaly,,Anomaly,1.0917253341495765,ANDHRA PRADESH,HYDERABAD
