COMMODITY,STATENAME,DATE,MONTH,YEAR
POTATO,WEST BENGAL,2020-09-25,September,2020
POTATO,WEST BENGAL,2020-09-24,September,2020
POTATO,WEST BENGAL,2020-09-25,September,2020
POTATO,WEST BENGAL,2020-09-24,September,2020
POTATO,WEST BENGAL,2020-09-25,September,2020
POTATO,WEST BENGAL,2020-09-24,September,2020
POTATO,WEST BENGAL,2020-09-25,September,2020
POTATO,WEST BENGAL,2020-09-24,September,2020
POTATO,WEST BENGAL,2020-09-24,September,2020
POTATO,WEST BENGAL,2020-09-23,September,2020
POTATO,WEST BENGAL,2020-09-25,September,2020
POTATO,WEST BENGAL,2020-09-24,September,2020
POTATO,WEST BENGAL,2020-09-23,September,2020
POTATO,WEST BENGAL,2020-09-22,September,2020
POTATO,UTTAR PRADESH,2020-09-25,September,2020
POTATO,UTTAR PRADESH,2020-09-24,September,2020
POTATO,UTTAR PRADESH,2020-09-25,September,2020
POTATO,UTTAR PRADESH,2020-09-24,September,2020
POTATO,UTTAR PRADESH,2020-09-25,September,2020
POTATO,UTTAR PRADESH,2020-09-24,September,2020
POTATO,UTTAR PRADESH,2020-09-25,September,2020
POTATO,UTTAR PRADESH,2020-09-24,September,2020
POTATO,UTTAR PRADESH,2020-09-25,September,2020
POTATO,UTTAR PRADESH,2020-09-24,September,2020
POTATO,UTTAR PRADESH,2020-09-25,September,2020
POTATO,UTTAR PRADESH,2020-09-24,September,2020
POTATO,UTTAR PRADESH,2020-09-25,September,2020
POTATO,UTTAR PRADESH,2020-09-24,September,2020
POTATO,MADHYA PRADESH,2020-09-23,September,2020
POTATO,MADHYA PRADESH,2020-09-22,September,2020
POTATO,MADHYA PRADESH,2020-09-24,September,2020
POTATO,MADHYA PRADESH,2020-09-23,September,2020
POTATO,MADHYA PRADESH,2020-09-25,September,2020
POTATO,MADHYA PRADESH,2020-09-24,September,2020
POTATO,PUNJAB,2020-09-25,September,2020
POTATO,PUNJAB,2020-09-24,September,2020
POTATO,PUNJAB,2020-09-25,September,2020
POTATO,PUNJAB,2020-09-24,September,2020
POTATO,PUNJAB,2020-09-25,September,2020
POTATO,PUNJAB,2020-09-24,September,2020
POTATO,PUNJAB,2020-09-25,September,2020
POTATO,PUNJAB,2020-09-24,September,2020
POTATO,PUNJAB,2020-09-24,September,2020
POTATO,PUNJAB,2020-09-23,September,2020
POTATO,NCT OF DELHI,2020-09-25,September,2020
POTATO,NCT OF DELHI,2020-09-24,September,2020
POTATO,GUJARAT,2020-09-24,September,2020
POTATO,GUJARAT,2020-09-23,September,2020
POTATO,GUJARAT,2020-09-23,September,2020
POTATO,GUJARAT,2020-09-22,September,2020
POTATO,GUJARAT,2020-09-25,September,2020
POTATO,GUJARAT,2020-09-24,September,2020
POTATO,HIMACHAL PRADESH,2020-09-25,September,2020
POTATO,HIMACHAL PRADESH,2020-09-24,September,2020
POTATO,HIMACHAL PRADESH,2020-09-24,September,2020
POTATO,HIMACHAL PRADESH,2020-09-23,September,2020
TOMATO,KARNATAKA,2020-09-25,September,2020
TOMATO,KARNATAKA,2020-09-24,September,2020
TOMATO,KARNATAKA,2020-09-24,September,2020
TOMATO,KARNATAKA,2020-09-23,September,2020
TOMATO,KARNATAKA,2020-09-19,September,2020
TOMATO,KARNATAKA,2020-09-18,September,2020
TOMATO,KARNATAKA,2020-09-24,September,2020
TOMATO,KARNATAKA,2020-09-23,September,2020
TOMATO,KARNATAKA,2020-09-25,September,2020
TOMATO,KARNATAKA,2020-09-24,September,2020
TOMATO,UTTAR PRADESH,2020-09-25,September,2020
TOMATO,UTTAR PRADESH,2020-09-24,September,2020
TOMATO,UTTAR PRADESH,2020-09-25,September,2020
TOMATO,UTTAR PRADESH,2020-09-24,September,2020
TOMATO,UTTAR PRADESH,2020-09-23,September,2020
TOMATO,UTTAR PRADESH,2020-09-22,September,2020
TOMATO,UTTAR PRADESH,2020-09-25,September,2020
TOMATO,UTTAR PRADESH,2020-09-24,September,2020
TOMATO,UTTAR PRADESH,2020-09-25,September,2020
TOMATO,UTTAR PRADESH,2020-09-24,September,2020
TOMATO,UTTAR PRADESH,2020-09-25,September,2020
TOMATO,UTTAR PRADESH,2020-09-24,September,2020
TOMATO,UTTAR PRADESH,2020-09-25,September,2020
TOMATO,UTTAR PRADESH,2020-09-24,September,2020
TOMATO,UTTAR PRADESH,2020-09-25,September,2020
TOMATO,UTTAR PRADESH,2020-09-24,September,2020
TOMATO,MAHARASHTRA,2020-09-25,September,2020
TOMATO,MAHARASHTRA,2020-09-24,September,2020
TOMATO,MAHARASHTRA,2020-09-25,September,2020
TOMATO,MAHARASHTRA,2020-09-24,September,2020
TOMATO,NCT OF DELHI,2020-09-25,September,2020
TOMATO,NCT OF DELHI,2020-09-24,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,UTTAR PRADESH,2020-09-27,September,2020
ONION,UTTAR PRADESH,2020-09-26,September,2020
ONION,NCT OF DELHI,2020-09-27,September,2020
ONION,NCT OF DELHI,2020-09-26,September,2020
ONION,KARNATAKA,2020-09-24,September,2020
ONION,KARNATAKA,2020-09-23,September,2020
ONION,KARNATAKA,2020-09-23,September,2020
ONION,KARNATAKA,2020-09-22,September,2020
ONION,KARNATAKA,2020-09-26,September,2020
ONION,KARNATAKA,2020-09-25,September,2020
ONION,KARNATAKA,2020-09-26,September,2020
ONION,KARNATAKA,2020-09-25,September,2020
ONION,MAHARASHTRA,2020-09-27,September,2020
ONION,MAHARASHTRA,2020-09-26,September,2020
MUSTARD OIL,WEST BENGAL,2020-09-25,September,2020
MUSTARD OIL,WEST BENGAL,2020-09-24,September,2020
MUSTARD OIL,WEST BENGAL,2020-09-23,September,2020
MUSTARD OIL,WEST BENGAL,2020-09-22,September,2020
