,STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME,TYPE
0,2020-09-06,2020-10-19,Normal,Normal,Normal,2.25,KARNATAKA,MYSORE (BANDIPALYA),Normal
1,2020-09-06,2020-10-19,Normal,Normal,Normal,1.056910569105691,UTTAR PRADESH,BARABANKI,Normal
2,2020-09-06,2020-10-19,Normal,Normal,Normal,1.2858979854264896,KARNATAKA,CHINTAMANI,Normal
3,2020-09-06,2020-10-19,Normal,Normal,Normal,1.3928571428571428,UTTAR PRADESH,FAIZABAD,Normal
4,2020-09-06,2020-10-19,Normal,Normal,Normal,1.138713240808825,NCT OF DELHI,AZADPUR,Normal
5,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0588235294117647,UTTAR PRADESH,AURAIYA,Normal
6,2020-09-06,2020-10-19,Normal,Normal,Normal,1.332408049957921,UTTAR PRADESH,PUKHRAYAN,Normal
7,2020-09-06,2020-10-19,Normal,Normal,Normal,2.0,KARNATAKA,MULABAGILU,Normal
8,2020-09-06,2020-10-19,Normal,Normal,Normal,1.1111111111111112,UTTAR PRADESH,KANPUR(GRAIN),Normal
9,2020-09-06,2020-10-19,Normal,Normal,Normal,1.7333333333333334,KARNATAKA,CHICKKABALLAPURA,Normal
10,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0289855072463767,UTTAR PRADESH,GONDA,Normal
11,2020-09-06,2020-10-19,Normal,Normal,Normal,1.8398320335932807,KARNATAKA,SRINIVASAPUR,Normal
12,2020-09-06,2020-10-19,Normal,Normal,Normal,1.1292307692307693,UTTAR PRADESH,KANNAUJ,Normal
13,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0666666666666669,UTTAR PRADESH,LUCKNOW,Normal
14,2020-09-06,2020-10-19,Normal,Normal,Normal,1.6216216216216215,MAHARASHTRA,PUNE,Normal
