DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM
2016-01-01,0.0182404950485567,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-02-01,0.0217346938643315,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-03-01,0.0174544763736727,0.0,0.0,0.0,0.0,3,0,0,3,3.0
2016-04-01,0.0102583307381732,0.0,0.0,0.0,0.0,8,0,0,8,8.0
2016-05-01,0.0026144277185481,0.0,0.0,0.0,0.0,10,0,0,10,10.0
2016-06-01,0.0120317936281895,1.0,0.0,0.0,1.0,15,2,0,17,18.0
2016-07-01,0.0246456404604292,2.0,1.0,0.0,3.0,16,6,0,22,25.0
2016-08-01,0.0034657628652709,2.0,1.0,0.0,3.0,11,10,0,21,24.0
2016-09-01,0.0052553498427388,2.0,1.0,0.0,3.0,10,15,0,25,28.0
2016-10-01,0.0,2.0,1.0,0.0,3.0,8,18,0,26,29.0
2016-11-01,0.0125949849623578,3.0,1.0,0.0,4.0,4,15,0,19,23.0
2016-12-01,0.0172917787597408,4.0,2.0,0.0,6.0,3,10,0,13,19.0
2017-01-01,0.0043719107170198,4.0,2.0,0.0,6.0,3,6,0,9,15.0
2017-02-01,0.0063847448246781,4.0,2.0,0.0,6.0,0,1,0,1,7.0
2017-03-01,0.0301564876056461,5.0,3.0,1.0,9.0,0,0,0,0,9.0
2017-04-01,0.0334461594002139,6.0,4.0,2.0,12.0,0,0,1,1,13.0
2017-05-01,0.0260360427176323,6.0,5.0,3.0,14.0,2,4,1,7,21.0
2017-06-01,0.0036259587152575,5.0,5.0,3.0,13.0,2,4,1,7,20.0
2017-07-01,0.0041493597409299,4.0,4.0,3.0,11.0,3,4,1,8,19.0
2017-08-01,0.0084396806260427,4.0,5.0,3.0,12.0,8,6,1,15,27.0
2017-09-01,0.00340571483647,4.0,5.0,3.0,12.0,11,8,2,21,33.0
2017-10-01,0.005073552268068,4.0,5.0,3.0,12.0,11,10,6,27,39.0
2017-11-01,0.0059873333039789,3.0,5.0,3.0,11.0,11,10,11,32,43.0
