DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM
2016-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-02-01,0.032909301421945,1.0,1.0,0.0,2.0,0,0,0,0,2.0
2016-03-01,0.0179216538468397,1.0,1.0,0.0,2.0,0,0,0,0,2.0
2016-04-01,0.0231378221161298,2.0,2.0,0.0,4.0,2,1,0,3,7.0
2016-05-01,0.1083567792700198,3.0,3.0,0.0,6.0,2,4,0,6,12.0
2016-06-01,0.0,3.0,3.0,0.0,6.0,5,7,0,12,18.0
2016-07-01,0.0,3.0,3.0,0.0,6.0,8,9,0,17,23.0
2016-08-01,0.0072763878421909,3.0,3.0,0.0,6.0,10,13,0,23,29.0
2016-09-01,0.0,3.0,3.0,0.0,6.0,12,16,0,28,34.0
2016-10-01,0.0076965127074721,3.0,3.0,0.0,6.0,10,16,0,26,32.0
2016-11-01,0.0066694842543598,3.0,3.0,0.0,6.0,9,16,0,25,31.0
2016-12-01,0.0,3.0,3.0,0.0,6.0,4,12,0,16,22.0
2017-01-01,0.0086908081785582,4.0,3.0,0.0,7.0,0,8,0,8,15.0
2017-02-01,0.0203350944933366,4.0,3.0,0.0,7.0,0,3,0,3,10.0
2017-03-01,0.0112575555381451,4.0,3.0,0.0,7.0,0,0,0,0,7.0
2017-04-01,0.0168185022775383,3.0,2.0,0.0,5.0,0,2,0,2,7.0
2017-05-01,0.018314125545917,2.0,1.0,1.0,4.0,0,6,0,6,10.0
2017-06-01,0.0070052681558556,2.0,1.0,1.0,4.0,2,8,0,10,14.0
2017-07-01,0.0040797968259128,2.0,1.0,1.0,4.0,5,12,4,21,25.0
2017-08-01,0.0026947323319684,2.0,1.0,1.0,4.0,7,15,9,31,35.0
2017-09-01,0.0027652370714438,2.0,1.0,1.0,4.0,7,12,13,32,36.0
2017-10-01,0.0186544915547315,2.0,1.0,2.0,5.0,7,9,17,33,38.0
2017-11-01,0.0026354722822277,2.0,1.0,2.0,5.0,3,5,20,28,33.0
2017-12-01,0.0021033440792941,2.0,1.0,2.0,5.0,2,1,20,23,28.0
2018-01-01,0.0,1.0,1.0,2.0,4.0,0,0,21,21,25.0
2018-02-01,0.0025556485445065,0.0,0.0,2.0,2.0,0,0,20,20,22.0
2018-03-01,0.0079146385059686,1.0,0.0,2.0,3.0,0,0,20,20,23.0
2018-04-01,0.0053296468064194,1.0,0.0,2.0,3.0,0,0,19,19,22.0
2018-05-01,0.0012627224295093,1.0,0.0,1.0,2.0,0,0,20,20,22.0
2018-06-01,0.0033714889139994,1.0,0.0,1.0,2.0,0,0,20,20,22.0
2018-07-01,0.0030567007990545,1.0,0.0,1.0,2.0,0,0,17,17,19.0
2018-08-01,0.0056178753321479,1.0,0.0,1.0,2.0,0,0,13,13,15.0
2018-09-01,0.0026162479682405,1.0,0.0,1.0,2.0,0,0,9,9,11.0
2018-10-01,0.001605649736175,1.0,0.0,0.0,1.0,0,0,4,4,5.0
2018-11-01,0.0044159632528164,1.0,0.0,0.0,1.0,0,0,0,0,1.0
2018-12-01,0.001254705144291,1.0,0.0,0.0,1.0,0,0,0,0,1.0
2019-01-01,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1.0
2019-02-01,0.0020251704877078,1.0,0.0,0.0,1.0,0,0,0,0,1.0
