DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM,STATENAME,MANDINAME
2016-04-01,0.0006019792217721,0.0,0.0,0.0,0.0,3,2,0,5,5.0,UTTAR PRADESH,PRATAPGARH
2016-05-01,0.1083567792700198,3.0,3.0,0.0,6.0,2,4,0,6,12.0,WEST BENGAL,KATWA
2016-05-01,0.0,0.0,0.0,0.0,0.0,6,5,0,11,11.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-05-01,0.0,1.0,0.0,0.0,1.0,3,6,0,9,10.0,WEST BENGAL,DURGAPUR
2016-05-01,0.0026144277185481,0.0,0.0,0.0,0.0,10,0,0,10,10.0,WEST BENGAL,KASIPUR
2016-05-01,0.0012898062018881,0.0,0.0,0.0,0.0,3,3,0,6,6.0,UTTAR PRADESH,PRATAPGARH
2016-06-01,0.0120317936281895,1.0,0.0,0.0,1.0,15,2,0,17,18.0,WEST BENGAL,KASIPUR
2016-06-01,0.0,3.0,3.0,0.0,6.0,5,7,0,12,18.0,WEST BENGAL,KATWA
2016-06-01,0.0,1.0,0.0,0.0,1.0,3,7,0,10,11.0,WEST BENGAL,DURGAPUR
2016-06-01,0.0,0.0,0.0,0.0,0.0,6,5,0,11,11.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-06-01,0.0016854019930461,0.0,0.0,0.0,0.0,3,3,0,6,6.0,UTTAR PRADESH,PRATAPGARH
2016-07-01,0.0246456404604292,2.0,1.0,0.0,3.0,16,6,0,22,25.0,WEST BENGAL,KASIPUR
2016-07-01,0.0,3.0,3.0,0.0,6.0,8,9,0,17,23.0,WEST BENGAL,KATWA
2016-07-01,0.0087532356633348,1.0,1.0,0.0,2.0,6,7,0,13,15.0,WEST BENGAL,DURGAPUR
2016-07-01,0.0,0.0,0.0,0.0,0.0,6,5,0,11,11.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-07-01,0.0013155060635222,0.0,0.0,0.0,0.0,3,3,0,6,6.0,UTTAR PRADESH,PRATAPGARH
2016-08-01,0.0072763878421909,3.0,3.0,0.0,6.0,10,13,0,23,29.0,WEST BENGAL,KATWA
2016-08-01,0.0034657628652709,2.0,1.0,0.0,3.0,11,10,0,21,24.0,WEST BENGAL,KASIPUR
2016-08-01,0.0096448544335613,2.0,1.0,0.0,3.0,8,9,0,17,20.0,WEST BENGAL,DURGAPUR
2016-08-01,0.0,0.0,0.0,0.0,0.0,5,5,0,10,10.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-08-01,0.0010822378781234,0.0,0.0,0.0,0.0,0,3,0,3,3.0,UTTAR PRADESH,PRATAPGARH
2016-09-01,0.0,3.0,3.0,0.0,6.0,12,16,0,28,34.0,WEST BENGAL,KATWA
2016-09-01,0.0052553498427388,2.0,1.0,0.0,3.0,10,15,0,25,28.0,WEST BENGAL,KASIPUR
2016-09-01,0.0088655015461656,2.0,2.0,0.0,4.0,11,8,0,19,23.0,WEST BENGAL,DURGAPUR
2016-09-01,0.0,0.0,0.0,0.0,0.0,10,6,0,16,16.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-09-01,0.0195884563124509,1.0,1.0,0.0,2.0,1,0,0,1,3.0,UTTAR PRADESH,PRATAPGARH
2016-10-01,0.0076965127074721,3.0,3.0,0.0,6.0,10,16,0,26,32.0,WEST BENGAL,KATWA
2016-10-01,0.0,2.0,1.0,0.0,3.0,8,18,0,26,29.0,WEST BENGAL,KASIPUR
2016-10-01,0.0411330806637822,1.0,1.0,0.0,2.0,14,10,0,24,26.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-10-01,0.0,2.0,2.0,0.0,4.0,14,7,0,21,25.0,WEST BENGAL,DURGAPUR
2016-10-01,0.031918010395063,1.0,2.0,0.0,3.0,4,2,0,6,9.0,UTTAR PRADESH,PRATAPGARH
2016-11-01,0.0060673621150148,1.0,1.0,0.0,2.0,19,15,0,34,36.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-11-01,0.0,2.0,2.0,0.0,4.0,19,11,0,30,34.0,WEST BENGAL,DURGAPUR
2016-11-01,0.0066694842543598,3.0,3.0,0.0,6.0,9,16,0,25,31.0,WEST BENGAL,KATWA
2016-11-01,0.0125949849623578,3.0,1.0,0.0,4.0,4,15,0,19,23.0,WEST BENGAL,KASIPUR
2016-11-01,0.0005451280139755,1.0,2.0,0.0,3.0,9,6,0,15,18.0,UTTAR PRADESH,PRATAPGARH
2016-12-01,0.0048950381988492,1.0,1.0,0.0,2.0,20,19,0,39,41.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-12-01,0.0,2.0,2.0,0.0,4.0,18,15,0,33,37.0,WEST BENGAL,DURGAPUR
2016-12-01,0.0005228267073701,1.0,2.0,0.0,3.0,13,10,0,23,26.0,UTTAR PRADESH,PRATAPGARH
2016-12-01,0.0,3.0,3.0,0.0,6.0,4,12,0,16,22.0,WEST BENGAL,KATWA
2016-12-01,0.0172917787597408,4.0,2.0,0.0,6.0,3,10,0,13,19.0,WEST BENGAL,KASIPUR
2017-01-01,0.0060776780293259,1.0,1.0,0.0,2.0,20,20,0,40,42.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2017-01-01,0.0,1.0,2.0,0.0,3.0,18,15,0,33,36.0,WEST BENGAL,DURGAPUR
2017-01-01,0.0009534562461217,1.0,2.0,0.0,3.0,17,14,0,31,34.0,UTTAR PRADESH,PRATAPGARH
