DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM,STATENAME,MANDINAME
2016-01-01,0.0437720752764354,1.0,0.0,0.0,1.0,0,0,0,0,1.0,UTTAR PRADESH,PRATAPGARH
2016-01-01,0.0437720752764354,1.0,0.0,0.0,1.0,0,0,0,0,1.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-01-01,0.0338417858054806,0.0,0.0,0.0,0.0,0,0,0,0,0.0,WEST BENGAL,KASIPUR
2016-01-01,0.0338417858054806,0.0,0.0,0.0,0.0,0,0,0,0,0.0,WEST BENGAL,DURGAPUR
2016-01-01,0.0338417858054806,0.0,0.0,0.0,0.0,0,0,0,0,0.0,WEST BENGAL,KATWA
2016-02-01,0.0184575335999306,2.0,0.0,0.0,2.0,0,0,0,0,2.0,UTTAR PRADESH,PRATAPGARH
2016-02-01,0.0184575335999306,2.0,0.0,0.0,2.0,0,0,0,0,2.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-02-01,0.0143183312657792,0.0,0.0,0.0,0.0,0,0,0,0,0.0,WEST BENGAL,KASIPUR
2016-02-01,0.0143183312657792,0.0,0.0,0.0,0.0,0,0,0,0,0.0,WEST BENGAL,DURGAPUR
2016-02-01,0.0143183312657792,0.0,0.0,0.0,0.0,0,0,0,0,0.0,WEST BENGAL,KATWA
2016-03-01,0.0526972086783125,3.0,1.0,0.0,4.0,0,0,0,0,4.0,UTTAR PRADESH,PRATAPGARH
2016-03-01,0.0526972086783125,3.0,1.0,0.0,4.0,0,0,0,0,4.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-03-01,0.0119286012042464,0.0,0.0,0.0,0.0,0,0,0,0,0.0,WEST BENGAL,KASIPUR
2016-03-01,0.0119286012042464,0.0,0.0,0.0,0.0,0,0,0,0,0.0,WEST BENGAL,DURGAPUR
2016-03-01,0.0119286012042464,0.0,0.0,0.0,0.0,0,0,0,0,0.0,WEST BENGAL,KATWA
2016-04-01,0.0264215136768244,4.0,1.0,0.0,5.0,0,1,0,1,6.0,UTTAR PRADESH,PRATAPGARH
2016-04-01,0.0264215136768244,4.0,1.0,0.0,5.0,0,1,0,1,6.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-04-01,0.0,0.0,0.0,0.0,0.0,2,0,0,2,2.0,WEST BENGAL,KASIPUR
2016-04-01,0.0,0.0,0.0,0.0,0.0,2,0,0,2,2.0,WEST BENGAL,DURGAPUR
2016-04-01,0.0,0.0,0.0,0.0,0.0,2,0,0,2,2.0,WEST BENGAL,KATWA
2016-05-01,0.0094368887505593,4.0,1.0,0.0,5.0,3,4,0,7,12.0,UTTAR PRADESH,PRATAPGARH
2016-05-01,0.0094368887505593,4.0,1.0,0.0,5.0,3,4,0,7,12.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-05-01,0.0183661501328509,0.0,0.0,0.0,0.0,4,1,0,5,5.0,WEST BENGAL,KASIPUR
2016-05-01,0.0183661501328509,0.0,0.0,0.0,0.0,4,1,0,5,5.0,WEST BENGAL,DURGAPUR
2016-05-01,0.0183661501328509,0.0,0.0,0.0,0.0,4,1,0,5,5.0,WEST BENGAL,KATWA
2016-06-01,0.0091439492070979,4.0,1.0,0.0,5.0,5,6,0,11,16.0,UTTAR PRADESH,PRATAPGARH
2016-06-01,0.0091439492070979,4.0,1.0,0.0,5.0,5,6,0,11,16.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-06-01,0.0131257717444203,0.0,0.0,0.0,0.0,4,1,0,5,5.0,WEST BENGAL,KASIPUR
2016-06-01,0.0131257717444203,0.0,0.0,0.0,0.0,4,1,0,5,5.0,WEST BENGAL,DURGAPUR
2016-06-01,0.0131257717444203,0.0,0.0,0.0,0.0,4,1,0,5,5.0,WEST BENGAL,KATWA
2016-07-01,0.0301768895290105,5.0,2.0,0.0,7.0,7,6,0,13,20.0,UTTAR PRADESH,PRATAPGARH
2016-07-01,0.0301768895290105,5.0,2.0,0.0,7.0,7,6,0,13,20.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-07-01,0.0,0.0,0.0,0.0,0.0,4,3,0,7,7.0,WEST BENGAL,KASIPUR
2016-07-01,0.0,0.0,0.0,0.0,0.0,4,3,0,7,7.0,WEST BENGAL,DURGAPUR
2016-07-01,0.0,0.0,0.0,0.0,0.0,4,3,0,7,7.0,WEST BENGAL,KATWA
2016-08-01,0.0,5.0,2.0,0.0,7.0,7,6,0,13,20.0,UTTAR PRADESH,PRATAPGARH
2016-08-01,0.0,5.0,2.0,0.0,7.0,7,6,0,13,20.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-08-01,0.0260522760574992,0.0,0.0,0.0,0.0,4,5,0,9,9.0,WEST BENGAL,KASIPUR
2016-08-01,0.0260522760574992,0.0,0.0,0.0,0.0,4,5,0,9,9.0,WEST BENGAL,DURGAPUR
2016-08-01,0.0260522760574992,0.0,0.0,0.0,0.0,4,5,0,9,9.0,WEST BENGAL,KATWA
2016-09-01,0.0,5.0,2.0,0.0,7.0,6,6,0,12,19.0,UTTAR PRADESH,PRATAPGARH
2016-09-01,0.0,5.0,2.0,0.0,7.0,6,6,0,12,19.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-09-01,0.0091630203192001,0.0,0.0,0.0,0.0,1,7,0,8,8.0,WEST BENGAL,KASIPUR
2016-09-01,0.0091630203192001,0.0,0.0,0.0,0.0,1,7,0,8,8.0,WEST BENGAL,DURGAPUR
2016-09-01,0.0091630203192001,0.0,0.0,0.0,0.0,1,7,0,8,8.0,WEST BENGAL,KATWA
2016-10-01,0.0,5.0,2.0,0.0,7.0,2,5,0,7,14.0,UTTAR PRADESH,PRATAPGARH
2016-10-01,0.0,5.0,2.0,0.0,7.0,2,5,0,7,14.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2016-10-01,0.0076204368268366,0.0,0.0,0.0,0.0,0,8,0,8,8.0,WEST BENGAL,KASIPUR
2016-10-01,0.0076204368268366,0.0,0.0,0.0,0.0,0,8,0,8,8.0,WEST BENGAL,DURGAPUR
2016-10-01,0.0076204368268366,0.0,0.0,0.0,0.0,0,8,0,8,8.0,WEST BENGAL,KATWA
2016-11-01,0.0,5.0,2.0,0.0,7.0,2,5,0,7,14.0,UTTAR PRADESH,PRATAPGARH
2016-11-01,0.0,5.0,2.0,0.0,7.0,2,5,0,7,14.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
