DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM
2016-01-01,0.0338417858054806,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-02-01,0.0143183312657792,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-03-01,0.0119286012042464,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,2,0,0,2,2.0
2016-05-01,0.0183661501328509,0.0,0.0,0.0,0.0,4,1,0,5,5.0
2016-06-01,0.0131257717444203,0.0,0.0,0.0,0.0,4,1,0,5,5.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,4,3,0,7,7.0
2016-08-01,0.0260522760574992,0.0,0.0,0.0,0.0,4,5,0,9,9.0
2016-09-01,0.0091630203192001,0.0,0.0,0.0,0.0,1,7,0,8,8.0
2016-10-01,0.0076204368268366,0.0,0.0,0.0,0.0,0,8,0,8,8.0
2016-11-01,0.0091481297488868,0.0,1.0,0.0,1.0,0,8,0,8,9.0
2016-12-01,0.0,0.0,1.0,0.0,1.0,0,6,0,6,7.0
2017-01-01,0.0161243269471021,0.0,2.0,0.0,2.0,0,2,0,2,4.0
2017-02-01,0.0,0.0,2.0,0.0,2.0,0,1,0,1,3.0
2017-03-01,0.0302854842025021,0.0,3.0,1.0,4.0,0,0,0,0,4.0
2017-04-01,0.0165819121242004,0.0,3.0,1.0,4.0,0,0,2,2,6.0
2017-05-01,0.0085390377664293,0.0,3.0,1.0,4.0,0,1,2,3,7.0
2017-06-01,0.0095706693983449,0.0,3.0,1.0,4.0,0,1,2,3,7.0
2017-07-01,0.0069183177314277,0.0,3.0,1.0,4.0,1,1,2,4,8.0
2017-08-01,0.0146210688280373,0.0,4.0,1.0,5.0,3,1,4,8,13.0
2017-09-01,0.0056759450503661,0.0,4.0,1.0,5.0,3,1,6,10,15.0
2017-10-01,0.0076741186061865,0.0,5.0,1.0,6.0,3,2,10,15,21.0
2017-11-01,0.0102736894488001,0.0,4.0,2.0,6.0,3,4,15,22,28.0
2017-12-01,0.0093767790341541,0.0,4.0,2.0,6.0,0,4,19,23,29.0
2018-01-01,0.0035897900469568,0.0,3.0,3.0,6.0,0,4,21,25,31.0
2018-02-01,0.003153082244148,0.0,3.0,3.0,6.0,0,4,20,24,30.0
2018-03-01,0.0103547298766954,0.0,3.0,3.0,6.0,0,0,20,20,26.0
2018-04-01,0.004509790559246,0.0,3.0,3.0,6.0,0,0,17,17,23.0
2018-05-01,0.0104271290574221,0.0,4.0,3.0,7.0,0,0,13,13,20.0
2018-06-01,0.0114929835006135,0.0,5.0,3.0,8.0,0,0,9,9,17.0
2018-07-01,0.0121008520745572,0.0,5.0,4.0,9.0,0,0,4,4,13.0
2018-08-01,0.0062046572187006,0.0,4.0,4.0,8.0,2,1,3,6,14.0
2018-09-01,0.0,0.0,4.0,4.0,8.0,6,5,7,18,26.0
2018-10-01,0.0056808852189522,0.0,3.0,4.0,7.0,11,10,12,33,40.0
2018-11-01,0.0017549585309361,0.0,3.0,3.0,6.0,15,14,16,45,51.0
2018-12-01,0.0104238411974687,0.0,4.0,3.0,7.0,19,18,20,57,64.0
2019-01-01,0.0079155066082467,0.0,4.0,3.0,7.0,19,19,16,54,61.0
2019-02-01,0.0067370417230076,0.0,4.0,3.0,7.0,15,15,12,42,49.0
2019-03-01,0.0156356871549465,0.0,4.0,3.0,7.0,11,11,8,30,37.0
2019-04-01,0.0050809372170052,0.0,4.0,3.0,7.0,6,6,3,15,22.0
2019-05-01,0.0088681046159323,0.0,4.0,3.0,7.0,2,2,0,4,11.0
2019-06-01,0.0044858023115904,0.0,3.0,3.0,6.0,0,0,0,0,6.0
2019-07-01,0.0047239963960712,0.0,3.0,2.0,5.0,0,0,0,0,5.0
2019-08-01,0.004932283767185,0.0,3.0,2.0,5.0,0,0,1,1,6.0
2019-09-01,0.0033238847646439,0.0,3.0,2.0,5.0,0,0,1,1,6.0
2019-10-01,0.0070687583451769,0.0,3.0,2.0,5.0,0,0,1,1,6.0
2019-11-01,0.0047628804783316,0.0,3.0,2.0,5.0,0,0,1,1,6.0
2019-12-01,0.012359529048259,0.0,3.0,3.0,6.0,0,0,0,0,6.0
2020-01-01,0.0157491980976448,0.0,4.0,3.0,7.0,0,0,0,0,7.0
2020-02-01,0.0283943752284164,0.0,5.0,4.0,9.0,0,1,4,5,14.0
2020-03-01,0.0168622729797791,0.0,4.0,4.0,8.0,0,4,8,12,20.0
2020-04-01,0.0243674371150361,0.0,5.0,4.0,9.0,0,4,12,16,25.0
2020-05-01,0.0222717250764107,0.0,4.0,5.0,9.0,0,4,16,20,29.0
2020-06-01,0.0102909236684919,0.0,4.0,5.0,9.0,0,8,19,27,36.0
2020-07-01,0.0202957084939524,0.0,5.0,6.0,11.0,0,5,19,24,35.0
2020-08-01,0.022096875295021,0.0,5.0,7.0,12.0,0,5,19,24,36.0
2020-09-01,0.0146569685440062,0.0,5.0,8.0,13.0,3,10,20,33,46.0
2020-10-01,0.0,0.0,5.0,8.0,13.0,3,13,20,36,49.0
2020-11-01,0.0255108959694141,0.0,6.0,9.0,15.0,3,13,20,36,51.0
2020-12-01,0.007003223112856,0.0,5.0,9.0,14.0,3,15,20,38,52.0
2021-01-01,0.0155657867186166,0.0,5.0,9.0,14.0,1,16,20,37,51.0
2021-02-01,0.0103364661650883,0.0,4.0,8.0,12.0,0,13,21,34,46.0
2021-03-01,0.00967058364637,0.0,4.0,7.0,11.0,0,9,20,29,40.0
2021-04-01,0.0491524316151147,0.0,4.0,8.0,12.0,0,5,20,25,37.0
2021-05-01,0.0037097561410807,0.0,4.0,7.0,11.0,0,3,19,22,33.0
2021-06-01,0.0007052449362973,0.0,4.0,7.0,11.0,3,3,20,26,37.0
