DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM
2016-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1.0
2016-04-01,0.0006019792217721,0.0,0.0,0.0,0.0,3,2,0,5,5.0
2016-05-01,0.0012898062018881,0.0,0.0,0.0,0.0,3,3,0,6,6.0
2016-06-01,0.0016854019930461,0.0,0.0,0.0,0.0,3,3,0,6,6.0
2016-07-01,0.0013155060635222,0.0,0.0,0.0,0.0,3,3,0,6,6.0
2016-08-01,0.0010822378781234,0.0,0.0,0.0,0.0,0,3,0,3,3.0
2016-09-01,0.0195884563124509,1.0,1.0,0.0,2.0,1,0,0,1,3.0
2016-10-01,0.031918010395063,1.0,2.0,0.0,3.0,4,2,0,6,9.0
2016-11-01,0.0005451280139755,1.0,2.0,0.0,3.0,9,6,0,15,18.0
2016-12-01,0.0005228267073701,1.0,2.0,0.0,3.0,13,10,0,23,26.0
2017-01-01,0.0009534562461217,1.0,2.0,0.0,3.0,17,14,0,31,34.0
2017-02-01,0.0013775519552906,1.0,2.0,0.0,3.0,20,18,0,38,41.0
2017-03-01,0.0102332365005538,1.0,2.0,0.0,3.0,20,20,1,41,44.0
2017-04-01,0.0053126655614604,1.0,2.0,0.0,3.0,19,20,1,40,43.0
2017-05-01,0.0030526130026579,1.0,2.0,0.0,3.0,16,20,1,37,40.0
2017-06-01,0.0008647272322786,1.0,2.0,0.0,3.0,16,20,1,37,40.0
2017-07-01,0.0023655124855411,1.0,2.0,0.0,3.0,13,19,1,33,36.0
2017-08-01,0.0055382592523941,1.0,3.0,0.0,4.0,9,17,6,32,36.0
2017-09-01,0.0027178578254124,0.0,2.0,0.0,2.0,8,13,10,31,33.0
2017-10-01,0.0007867653892895,0.0,1.0,0.0,1.0,5,9,14,28,29.0
2017-11-01,0.0021696647254523,0.0,1.0,0.0,1.0,0,4,19,23,24.0
2017-12-01,0.0025749124618242,0.0,1.0,0.0,1.0,0,0,20,20,21.0
2018-01-01,0.0004626270308972,0.0,1.0,0.0,1.0,0,0,21,21,22.0
2018-02-01,0.0026607705644923,0.0,1.0,0.0,1.0,0,0,20,20,21.0
2018-03-01,0.0068392674355538,0.0,1.0,0.0,1.0,0,0,20,20,21.0
2018-04-01,0.0082183762661587,0.0,2.0,0.0,2.0,0,0,19,19,21.0
2018-05-01,0.0043769444916252,0.0,2.0,0.0,2.0,0,0,15,15,17.0
2018-06-01,0.0104100841367588,0.0,2.0,0.0,2.0,0,0,11,11,13.0
2018-07-01,0.0058321146272115,0.0,2.0,0.0,2.0,0,0,6,6,8.0
2018-08-01,0.0052655059376821,0.0,1.0,0.0,1.0,0,0,6,6,7.0
2018-09-01,0.0013842595977477,0.0,1.0,0.0,1.0,0,0,8,8,9.0
2018-10-01,0.0011683334924022,0.0,1.0,0.0,1.0,0,0,10,10,11.0
2018-11-01,0.0011244631870714,0.0,1.0,0.0,1.0,0,0,10,10,11.0
2018-12-01,0.0011942696199129,0.0,1.0,0.0,1.0,0,0,9,9,10.0
2019-01-01,0.0005165442484486,0.0,1.0,0.0,1.0,0,0,4,4,5.0
2019-02-01,0.0003460021531136,0.0,1.0,0.0,1.0,0,0,0,0,1.0
2019-03-01,0.000305372690711,0.0,1.0,0.0,1.0,0,0,0,0,1.0
2019-04-01,0.0010784674016756,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2019-05-01,0.0004714089469926,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2019-06-01,0.0006296630485637,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2019-07-01,0.0009128802855385,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2019-08-01,0.0007286054170523,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2019-09-01,0.0004435272302749,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2019-10-01,0.0008305682437519,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2019-11-01,0.0073876244397799,0.0,1.0,0.0,1.0,0,0,0,0,1.0
2019-12-01,0.0099411931810653,0.0,2.0,0.0,2.0,0,0,0,0,2.0
2020-01-01,0.008969044654993,1.0,2.0,1.0,4.0,0,0,0,0,4.0
2020-02-01,0.0090518803060962,1.0,3.0,1.0,5.0,0,1,4,5,10.0
2020-03-01,0.0203747551986165,1.0,3.0,2.0,6.0,0,4,8,12,18.0
2020-04-01,0.0142565298794591,2.0,3.0,3.0,8.0,0,4,13,17,25.0
